,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,9171.030999958515,240.10099999999946,43.227000000001716,0.111,269.61199999999997,0,268.39900000000006,227.85600000000002,0,0,574.4049999713898,574.9849999547005,0,4,1066.6000000238419,1.899999976158142,
run1,9953.701000015259,273.3889999999816,45.928000000001674,0.122,299.22400000000005,0,298.34299999999996,238.40200000000002,0,0,605.6570000052452,606.2330000400543,0,4,1136,1.4000000357627869,
run2,9594.708999991417,256.2789999999851,43.93100000000175,0.093,287.772,0,282.17699999999996,235.712,0,0,583.3140000104904,583.9829999804497,0,4,1166,1.2000000476837158,
run3,9813.380999982357,255.94899999998393,45.08100000000223,0.172,283.584,0,282.94,231.65800000000002,0,0,583.5999999642372,584.3029999732971,0,4,1171.699999988079,1.199999988079071,
run4,10028.981000006199,267.41899999998407,46.00000000000182,0.051,302.37499999999994,0,304.88500000000005,240.9740000000001,0,0,554.8819999694824,555.4670000076294,0,4,1123.300000011921,1.300000011920929,
run5,9789.35799998045,260.63199999998284,45.05600000000178,0.1,291.28899999999993,0,289.867,242.369,0,0,599.4229999780655,600.1230000257492,0,4,1170.199999988079,1.699999988079071,
run6,10743.894999980927,294.9529999999754,53.15500000000251,0.107,328.7999999999999,0,334.33900000000006,238.56,0,0,628.0949999690056,628.8599999547005,0,4,1302.2999999523163,4.300000011920929,
run7,10179.256999969482,273.28599999997806,46.9610000000021,0.096,313.3060000000001,0,309.698,246.90800000000004,0,0,616.67099994421,617.9699999690056,0,4,1161.300000011921,3,
run8,9696.73299998045,270.34199999998486,45.59200000000192,0.11,294.2559999999999,0,299.57599999999996,245.22500000000005,0,0,530.5669999718666,531.2709999680519,0,4,1134.699999988079,1.4000000357627869,
run9,9629.885999977589,255.68599999998224,44.56800000000208,0.1,287.464,0,290.22,220.279,0,0,504.380999982357,505.15699994564056,0,4,1110.2000000476837,1.300000011920929,
run10,8084.086000025272,211.79199999998977,40.15300000000066,0.115,242.40099999999993,0,246.383,218.15200000000004,0,0,519.3439999818802,520.0139999985695,0,4,1026.4000000357628,3.699999988079071,
run11,10445.932999968529,268.6949999999817,45.74600000000165,0.06,305.00500000000005,0,299.176,223.45199999999997,0,0,853.5820000171661,854.2699999809265,0,4,1369.1000000238419,4.400000035762787,
run12,10330.043000042439,271.89799999998223,46.06600000000165,0.091,299.02600000000007,0,301.376,240.274,0,0,658.8249999880791,660.2980000376701,0,4,1183.5,1,
run13,10245.851999998093,277.6089999999781,46.898000000002156,0.099,306.78700000000003,0,307.112,241.52800000000002,0,0,523.2590000033379,523.9329999685287,0,4,1117.2999999523163,1.4000000357627869,
run14,9865.651000022888,273.0919999999812,45.61900000000168,0.055,298.0779999999999,0,301.16900000000004,244.096,0,0,545.6740000247955,546.2649999856949,0,4,1101.699999988079,1.100000023841858,
run15,9919.435000002384,268.5939999999849,45.81100000000171,0.123,302.256,0,310.5519999999999,244.50599999999994,0,0,579.977999985218,581.0479999780655,0,4,1157,1.5,
run16,10036.160000026226,274.6519999999797,46.39500000000199,0.123,302.9650000000001,0,302.496,236.60299999999995,0,0,610.4589999914169,611.4520000219345,0,4,1156.300000011921,1.699999988079071,
run17,9468.879999995232,253.66799999998477,43.167000000001245,0.099,285.09900000000005,0,280.46999999999997,238.725,0,0,611.2829999923706,611.9239999651909,0,4,1169.699999988079,1.199999988079071,
run18,8326.435000002384,223.32099999998988,40.07800000000066,0.1,252.157,0,255.11599999999996,225.50600000000006,0,0,614.3569999933243,615.2110000252724,0,4,1160.300000011921,1.199999988079071,
run19,9941.267999947071,269.4819999999823,46.41400000000216,0.062,302.945,0,309.60499999999996,233.69000000000003,0,0,519.0740000009537,519.7679999470711,0,4,1121.800000011921,1.100000023841858,
run20,9996.615999996662,273.33099999998336,46.60100000000196,0.059,297.2869999999999,0,299.30000000000007,257.287,0,0,502.88599997758865,503.5659999847412,0,4,1102.800000011921,1.0999999642372131,
run21,9830.96700000763,268.3639999999826,45.045000000002226,0.091,293.46899999999994,0,297.79699999999997,239.62099999999995,0,0,603.557000041008,604.2330000400543,0,4,1188.4000000357628,1.199999988079071,
