,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,9147.907000005245,241.25999999999723,41.58500000000169,0.066,271.3750000000001,0,271.4410000000001,210.564,0,0,607.4569999575615,608.1349999904633,0,4,1120.800000011921,1.699999988079071,
run1,9247.129999995232,225.61499999998568,42.48200000000156,0.07,259.30699999999996,0,262.5330000000001,202.26199999999997,0,0,592.970999956131,593.7569999694824,0,4,1234.699999988079,2.600000023841858,
run2,9637.87800002098,275.2349999999838,46.285000000002086,0.105,297.02799999999996,0,297.86,220.90599999999998,0,0,537.8550000190735,538.7080000042915,0,4,1145.5,1.399999976158142,
run3,9265.583000004292,238.22999999998945,44.01300000000178,0.127,268.1,0,279.01300000000003,201.23500000000004,0,0,638.5649999976158,639.2919999957085,0,4,1150.6000000238419,2.199999988079071,
run4,10572.375,305.95399999998034,52.1100000000017,0.095,323.30100000000004,0,323.764,234.87400000000002,0,0,574.0860000252724,575.438000023365,0,4,1188.5,2.799999952316284,
run5,9724.172000050545,267.65599999998364,45.82200000000177,0.135,294.974,0,292.91800000000006,218.19,0,0,600.9340000152588,602.1410000324249,0,4,1205.8999999761581,2.699999988079071,
run6,9484.433000028133,240.46799999999033,43.24500000000141,0.089,275.244,0,263.73,206.19600000000003,0,0,673.3670000433922,674.0609999895096,0,4,1285,1.5,
run7,9497.912000000477,264.05499999998403,45.74700000000205,0.101,292.38999999999993,0,294.69199999999995,214.995,0,0,538.8560000061989,539.511999964714,0,4,1161.3999999761581,1.7000000476837158,
run8,9770.563000023365,274.25999999998163,46.07200000000217,0.097,298.08899999999994,0,302.83399999999995,220.73000000000005,0,0,612.4200000166893,613.3450000286102,0,4,1196.699999988079,4.5,
run9,10062.736999988556,262.82299999998423,45.505000000002,0.105,291.2010000000001,0,298.33199999999994,221.09999999999997,0,0,738.875,739.472000002861,0,4,1325.4000000357628,5.300000011920929,
run10,9520.655000030994,259.49599999998514,46.028000000002194,0.073,290.769,0,291.903,216.45399999999995,0,0,502.1069999933243,502.8949999809265,0,4,1156.300000011921,1.600000023841858,
run11,9381.409999966621,248.72799999998418,43.63200000000182,0.092,272.02000000000004,0,273.904,214.263,0,0,550.3959999680519,551.1890000104904,0,4,1154.699999988079,1.5999999642372131,
run12,9621.049000024796,256.95599999998734,44.509000000002075,0.089,287.62899999999996,0,287.97600000000006,226.46900000000005,0,0,561.3019999861717,562.0450000166893,0,4,1163.800000011921,1.4000000357627869,
run13,9586.37199997902,265.9539999999846,47.56500000000224,0.131,294.238,0,294.141,213.46499999999995,0,0,543.9139999747276,544.9259999990463,0,4,1243.6000000238419,2.400000035762787,
run14,9954.84500002861,257.11799999998465,45.47900000000217,0.071,292.31099999999986,0,296.92800000000005,214.97500000000002,0,0,525.5370000004768,526.1669999957085,0,4,1223.800000011921,1.5999999642372131,
run15,9607.930999994278,259.4159999999818,44.40200000000188,0.062,292.23799999999994,0,295.169,215.55500000000006,0,0,548.2540000081062,549.027999997139,0,4,1176.7000000476837,3.600000023841858,
run16,9566.42199999094,257.10499999998376,45.28300000000172,0.061,291.9260000000001,0,296.576,214.30500000000006,0,0,600.5869999527931,603.0859999656677,0,4,1183.800000011921,1.800000011920929,
run17,9331.902999997139,245.55599999998782,43.713000000001614,0.084,273.077,0,274.83,214.357,0,0,551.4760000109673,552.1850000023842,0,4,1147,5.700000047683716,
run18,9789.933000028133,262.7499999999843,44.61700000000167,0.079,293.563,0,296.23500000000007,218.86999999999995,0,0,582.1650000214577,582.9190000295639,0,4,1230.199999988079,1.7000000476837158,
run19,8334.949000000954,232.50899999998472,43.581000000000714,0.136,261.3159999999999,0,267.58,198.34099999999998,0,0,522.1280000209808,522.9519999623299,0,4,1128.7000000476837,2.300000011920929,
run20,9795.38899999857,268.1789999999818,45.185000000001544,0.075,293.614,0,293.83500000000004,217.50400000000002,0,0,590.8440000414848,591.5879999995232,0,4,1226.1000000238419,1.699999988079071,
run21,9584.832000017166,261.7429999999825,46.583000000001825,0.068,291.402,0,290.08799999999997,212.558,0,0,601.8260000348091,602.5230000019073,0,4,1195.5,1.899999976158142,
run22,9820.033999979496,260.4899999999819,44.519000000001846,0.072,291.663,0,290.177,222.86299999999997,0,0,552.7239999771118,553.4760000109673,0,4,1159.800000011921,1.899999976158142,
run23,9247.462999999523,243.9039999999845,44.40400000000173,0.05,271.73100000000005,0,276.296,211.93099999999998,0,0,562.6660000085831,563.2479999661446,0,4,1202,2.799999952316284,
run24,9676.740999996662,261.91499999998393,45.1560000000017,0.128,291.08099999999996,0,295.41700000000003,213.95299999999995,0,0,589.1920000314713,589.8650000095367,0,4,1176.800000011921,1.5999999642372131,
run25,10078.101999998093,280.70999999998196,47.86400000000201,0.105,321.069,0,327.4770000000001,223.24300000000002,0,0,511.3230000138283,511.9860000014305,0,4,1186.5,2.300000011920929,
run26,9942.62199997902,271.95299999998457,47.26600000000235,0.075,307.83799999999997,0,306.104,227.64099999999996,0,0,526.930999994278,527.6689999699593,0,4,1192.5,3,
run27,8363.712000012398,230.28899999998643,41.2810000000007,0.158,256.45699999999994,0,266.611,198.047,0,0,615.9370000362396,617.0650000572205,0,4,1191.5,1.5,
run28,7944.068000018597,213.1459999999898,39.00600000000051,0.128,244.648,0,242.45799999999997,202.309,0,0,533.3100000023842,534.0709999799728,0,4,1154.4000000357628,2.800000011920929,
run29,8789.740999996662,251.40899999998263,43.5630000000008,0.077,261.07999999999987,0,264.29400000000004,194.19099999999997,0,0,537.2099999785423,537.8599999547005,0,4,1180.699999988079,1.5,
run30,8292.067000031471,226.14399999998923,41.88500000000102,0.08,252.19700000000003,0,253.91000000000003,200.28399999999996,0,0,613.3939999938011,614.097000002861,0,4,1122.8999999761581,1.7000000476837158,
run31,9816.401000022888,262.94399999998234,47.07900000000196,0.129,295.92799999999994,0,301.96299999999997,214.45099999999996,0,0,530.5789999961853,531.4760000109673,0,4,1173,2.199999988079071,
run32,9851.673999982833,269.32499999998356,46.745000000002214,0.126,298.58400000000006,0,301.3790000000001,223.13199999999998,0,0,557.3090000152588,557.8680000305176,0,4,1141.7999999523163,1.699999988079071,
run33,10362.62699997425,274.0339999999799,47.71200000000185,0.102,304.884,0,307.553,229.43299999999996,0,0,727.9659999608994,728.4279999732971,0,4,1324.300000011921,2.199999988079071,
run34,10010.490999996662,275.9619999999805,48.493000000001864,0.095,309.19400000000013,0,312.48900000000003,227.67999999999992,0,0,589.063000023365,589.9729999899864,0,4,1236.199999988079,2.899999976158142,
run35,9786.087999999523,257.1419999999824,45.37400000000154,0.137,287.414,0,284.79599999999994,221.23200000000003,0,0,620.3500000238419,621.244000017643,0,4,1193.4000000357628,3.699999988079071,
