,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,7960.4860000014305,199.5560000195479,37.05000000000048,0.121,272.642,0,229.95899999999997,175.29600000000005,0,0,648.2599999904633,648.8240000009537,0,4,1218.6000000238419,1.699999988079071,
run1,9735.193000018597,243.12999999998564,45.008000000001886,0.084,328.91099999999994,0,271.80299999999994,202.52299999999997,0,0,692.2310000061989,693.1830000281334,0,4,1282,1.699999988079071,
run2,10320.262000024319,271.68199999997756,47.660000000002356,0.159,363.95900000000006,0,297.19399999999996,220.77899999999994,0,0,516.8289999961853,517.7800000309944,0,4,1229.199999988079,1,
run3,8579.907000005245,229.38999999998725,41.920000000000854,0.062,310.531,0,260.02599999999995,190.49899999999997,0,0,503.0110000371933,504.03700000047684,0,4,1204.5,1.9000000357627869,
run4,10024.974999964237,265.8229999999809,46.3120000000021,0.073,364.12800000000004,0,305.88599999999997,216.19699999999997,0,0,477.69400000572205,478.3700000047684,0,4,1193.5,0.800000011920929,
run5,9524.010999977589,247.02299999998456,45.03800000000205,0.066,337.10400000000004,0,288.86199999999997,197.578,0,0,494.39600002765656,495.1830000281334,0,4,1229.0999999642372,1.600000023841858,
run6,9881.721000015736,258.59299999998274,44.996000000001814,0.148,340.5340000000001,0,284.154,203.22400000000007,0,0,577.4969999790192,578.477999985218,0,4,1309.300000011921,1.100000023841858,
run7,10415.530999958515,268.88099999998076,47.56600000000227,0.094,372.378,0,313.558,218.66399999999996,0,0,559.692999958992,560.3709999918938,0,4,1269.800000011921,0.7000000476837158,
run8,8928.778999984264,245.28899999998526,44.12800000000117,0.144,333.556,0,274.74800000000005,214.99099999999999,0,0,523.505999982357,524.089999973774,0,4,1201.699999988079,1.5,
run9,10369.382999956608,269.90299999998473,48.125000000002004,0.095,364.172,0,303.205,218.645,0,0,632.1319999694824,633.0239999890327,0,4,1230,0.699999988079071,
run10,8770.426999986172,234.00199999998682,42.280000000000996,0.096,322.886,0,262.56899999999996,196.85899999999998,0,0,536.9670000076294,537.8949999809265,0,4,1209.1000000238419,0.699999988079071,
run11,10074.303999960423,263.8089999999833,46.99000000000214,0.085,353.62000000000006,0,300.798,207.53799999999998,0,0,593.9979999661446,594.8489999771118,0,4,1233.5,1.699999988079071,
run12,9122.686999976635,237.33799999998558,44.118000000001224,0.067,332.4510000000001,0,279.253,225.37699999999998,0,0,712.2960000038147,712.8859999775887,0,4,1339.2999999523163,2.5,
run13,10299.935000002384,283.9249999999818,49.5220000000028,0.15,383.295,0,320.08200000000005,227.932,0,0,540.5659999847412,541.1069999933243,0,4,1238.8999999761581,2.399999976158142,
run14,10166.879000008106,274.3769999999805,47.48400000000254,0.096,362.187,0,301.71999999999997,220.31899999999996,0,0,415.53400003910065,416.20899999141693,0,4,1155.5,0.7999999523162842,
run15,9894.926999986172,269.1159999999835,47.711000000001825,0.107,355.69199999999995,0,293.765,217.1160000000001,0,0,478.1069999933243,478.94400000572205,0,4,1174,1.5999999642372131,
run16,10153.439999997616,277.60999999998154,46.09700000000183,0.157,364.2420000000002,0,302.64000000000004,212.32999999999998,0,0,634.4430000185966,635.1389999985695,0,4,1157.9000000357628,0.800000011920929,
run17,9010.224000036716,236.41499999998874,42.69800000000127,0.175,322.29200000000003,0,264.185,201.591,0,0,463.6710000038147,464.2760000228882,0,4,1071.800000011921,1.800000011920929,
