,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,21761.994999945164,757.7969999999061,20.922000000000008,0.101,881.513,0,670.674,566.4179999999999,0,0,711.2269999980927,712.1419999599457,0,40,4593.300000011921,7.900000035762787,
run1,21572.556999981403,800.1509999999821,19.261,0.142,820.513,0,725.184,580.968,0,0,577.5009999871254,578.341000020504,0,37,4475.5,7.400000035762787,
run2,21768.365999996662,801.8459999999944,19.58100000000001,0.138,842.5659999999998,0,724.894,566.5219999999999,0,0,572.6349999904633,573.4490000009537,0,38,4592.699999988079,8.399999976158142,
run3,21595.255999982357,804.9009999999839,20.882000000000026,0.178,816.4289999999999,0,742.385,569.929,0,0,539.283999979496,540.1629999876022,0,39,4484.899999976158,8.199999988079071,
run4,23004.269999980927,839.7969999999834,20.340000000000003,0.122,833.7890000000002,0,764.35,577.0099999999998,0,0,506.77100002765656,507.494000017643,0,39,4717.899999976158,8.199999988079071,
run5,21670.712999999523,813.3929999999937,18.665000000000003,0.103,865.5970000000004,0,714.327,591.6200000000002,0,0,557.2520000338554,557.8960000276566,0,38,4550.5,8.099999964237213,
run6,21532.200999975204,802.9369999999981,18.839,0.062,849.772,0,718.383,571.827,0,0,544.5519999861717,545.2549999952316,0,38,4397,0.699999988079071,
run7,21528.058999955654,803.7359999999782,19.174,0.148,822.3160000000001,0,739.187,572.052,0,0,495.7319999933243,497.05599999427795,0,38,4435.800000011921,1,
run8,21512.504000008106,808.4689999999935,20.349999999999987,0.126,849.243,0,723.1,573.7200000000003,0,0,594.6119999885559,595.3220000267029,0,41,4496.5,7.5,
run9,22281.516000032425,823.133999999985,21.499000000000006,0.165,867.9760000000002,0,727.933,627.0810000000001,0,0,575.7480000257492,576.6510000228882,0,37,4710.100000023842,0.9000000357627869,
run10,22064.272000014782,818.4650000000012,19.965999999999998,0.11,809.2829999999996,0,741.2700000000001,578.3579999999998,0,0,631.3370000123978,632.3170000314713,0,37,4594.899999976158,0.8999999761581421,
run11,21615.16899996996,806.200999999996,18.874999999999993,0.089,856.0399999999998,0,721.338,576.0319999999998,0,0,458.78899997472763,459.55400002002716,0,38,4411.199999988079,1.100000023841858,
run12,22035.052000045776,816.8519999999978,18.73199999999999,0.114,813.7590000000001,0,731.6759999999999,580.2330000000001,0,0,568.9690000414848,569.7700000405312,0,37,4786.5,0.800000011920929,
run13,22162.456000000955,832.2460000000016,19.433000000000018,0.085,833.3169999999999,0,764.387,584.578,0,0,530.5719999670982,531.3829999566078,0,38,4700.399999976158,8.299999952316284,
run14,22251.199000000954,830.6270000000005,19.53300000000001,0.08,810.039,0,759.246,639.2159999999999,0,0,479.119000017643,480.0590000152588,0,36,5016.800000011921,0.8999999761581421,
run15,22555.506999969482,851.9519999999925,19.733999999999998,0.1,869.7729999999999,0,732.195,571.3819999999998,0,0,497.9889999628067,498.7709999680519,0,38,4684.800000011921,7.399999976158142,
run16,22593.50300002098,858.2330000000265,19.836000000000013,0.104,878.7700000000001,0,767.1329999999999,593.0319999999999,0,0,507.6040000319481,508.3700000047684,0,37,4499.199999988079,7.800000011920929,
run17,23798.290000021458,864.0270000000004,19.77499999999999,0.066,896.3400000000001,0,777.9480000000001,594.1489999999999,0,0,573.0740000009537,573.8249999880791,0,39,4986.300000011921,8.399999976158142,
run18,22123.950000047684,837.0610000000275,20.68499999999999,0.079,849.852,0,766.155,592.6379999999999,0,0,490.89700001478195,492.17700004577637,0,39,4449.100000023842,1.100000023841858,
run19,23340.464000046253,870.9470000000252,21.960000000000008,0.104,883.668,0,782.443,604.5540000000001,0,0,551.2390000224113,551.9640000462532,0,39,4937,0.9000000357627869,
run20,22484.944999992847,826.2249999999837,20.09000000000001,0.081,854.818,0,733.927,578.434,0,0,528.5180000066757,529.2269999980927,0,40,4820.399999976158,0.8999999761581421,
run21,24104.56099998951,885.2200000000047,20.603999999999996,0.073,905.5220000000002,0,785.082,598.2399999999999,0,0,546.8989999890327,547.6800000071526,0,38,5090.5,7.900000035762787,
run22,21657.994000017643,822.7279999999922,19.08999999999999,0.128,851.5540000000005,0,731.284,567.823,0,0,514.1420000195503,514.8460000157356,0,38,4595.900000035763,8,
