,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,8813.749000012875,152.8759999999981,7.499000000000005,0.11099999999999999,157.06100000000004,0,137.05700000000002,110.422,0,0,1290.2900000214577,3728.525000035763,0,6,4059,0.800000011920929,
run1,9593.04399996996,178.8059999999944,8.131000000000006,0.083,162.796,0,146.393,127.36,0,0,1515.7229999899864,4485.546000003815,0,6,4808.599999964237,0.8999999761581421,
run2,9384.48299998045,172.5129999999963,8.525999999999996,0.126,164.63000000000005,0,145.357,117.23599999999996,0,0,1608.494000017643,4280.472000002861,0,6,4602.399999976158,1.100000023841858,
run3,9720.222999989986,177.29199999999426,8.638000000000007,0.096,177.06699999999998,0,153.35500000000002,149.8079999999999,0,0,1693.6269999742508,4573.791000008583,0,6,4923.199999988079,1.199999988079071,
run4,9425.61499998331,171.50199999999464,8.441000000000008,0.08199999999999999,167.9240000000002,0,153.73399999999998,129.326,0,0,1535.2379999756813,4333.181999981403,0,6,4728.100000023842,1.2999999523162842,
run5,9445.805999994278,178.96499999999295,8.019000000000002,0.127,167.34199999999993,0,146.883,122.17899999999995,0,0,1444.7360000014305,4303.4509999752045,0,6,4641,1.699999988079071,
run6,9752.787999987602,186.51599999999334,8.180000000000007,0.178,173.1089999999999,0,152.995,132.339,0,0,1515.4699999690056,4632.380999982357,0,6,4994.199999988079,1.399999976158142,
run7,9605.105000019073,183.014999999994,8.15800000000001,0.174,172.77000000000004,0,144.07700000000003,118.287,0,0,1503.0680000185966,4488.416000008583,0,6,4851.399999976158,1.600000023841858,
run8,9814.82600003481,180.49299999999198,8.582,0.11099999999999999,174.7730000000001,0,161.308,112.53500000000001,0,0,1599.6349999904633,4667.611999988556,0,6,5072.399999976158,1.300000011920929,
run9,9433.16899996996,179.31499999999386,7.686999999999998,0.101,167.36499999999998,0,146.02399999999997,120.91000000000005,0,0,1463.6779999732971,4315.3949999809265,0,6,4630.100000023842,1.699999988079071,
run10,9760.749000012875,184.9359999999939,7.295000000000007,0.08099999999999999,171.83100000000002,0,154.614,117.31899999999999,0,0,1622.3629999756813,4610.907999992371,0,6,4989.100000023842,0.8999999761581421,
run11,9705.437000016213,181.35299999999236,8.056,0.129,179.92200000000014,0,156.381,138.54400000000004,0,0,1499.5379999876022,4533.518999993801,0,6,4878.899999976158,1.300000011920929,
run12,9430.929000020027,183.9849999999931,7.106999999999998,0.129,168.629,0,144.681,113.10399999999998,0,0,1420.6230000257492,4342.181999981403,0,6,4695.700000047684,1,
run13,9880.257999956608,187.63399999999413,8.868000000000006,0.11,182.79400000000004,0,160.494,133.05100000000002,0,0,1718.608999967575,4737.4009999632835,0,6,5129.200000047684,1.0999999642372131,
run14,9680.46800005436,178.97299999999396,8.566000000000003,0.175,170.27099999999987,0,147.588,126.07100000000005,0,0,1602.2730000019073,4566.416000008583,0,6,4939.800000011921,0.800000011920929,
run15,9872.162999987602,191.82799999999142,9.108999999999998,0.113,182.45800000000008,0,159.26,126.49600000000002,0,0,1720.722000002861,4704.278999984264,0,6,5091.300000011921,1.5,
run16,9567.342999994755,173.05599999999527,7.788999999999993,0.093,169.188,0,147.006,136.649,0,0,1599.4539999961853,4424.40600001812,0,6,4670,1.399999976158142,
run17,9559.346000015736,182.43899999999292,7.872999999999993,0.162,168.72299999999996,0,145.914,117.582,0,0,1471.8030000329018,4439.740000009537,0,6,4787.800000011921,1.800000011920929,
run18,9400.938999950886,171.68599999999475,9.075999999999997,0.124,170.895,0,147.52999999999994,130.173,0,0,1505.7349999547005,4254.449999988079,0,6,4607.699999988079,6.400000035762787,
run19,9417.46899998188,172.62399999999482,8.054000000000002,0.10400000000000001,174.44499999999994,0,143.636,119.242,0,0,1499.3989999890327,4281.261999964714,0,6,4660.300000011921,5.899999976158142,
run20,9572.010999977589,181.8649999999927,9.534000000000002,0.099,173.45599999999996,0,153.977,122.257,0,0,1502.0999999642372,4446.792999982834,0,6,4839.300000011921,0.9000000357627869,
run21,9580.891999959946,177.82899999999404,9.010000000000002,0.16599999999999998,168.19000000000005,0,150.256,117.61599999999994,0,0,1590.6539999842644,4435.5479999780655,0,6,4727,1.699999988079071,
run22,9630.069000005722,180.96999999999468,8.569000000000008,0.07500000000000001,171.45000000000002,0,146.841,116.845,0,0,1537.798999965191,4547.129999995232,0,6,4905,0.800000011920929,
