,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,15675.541000008583,527.9149999999844,13.04100000000001,0.125,517.8010000000003,0,447.13599999999997,536.232,0,0,470.75,471.1980000138283,0,40,4643.599999964237,9.5,
run1,15736.56400001049,536.7229999999751,12.790000000000003,0.363,528.3340000000002,0,459.67299999999994,549.1800000000001,0,0,558.1240000128746,559.2060000300407,0,39,4570.399999976158,9.700000047683716,
run2,16200.824999988079,551.5639999999728,13.023000000000007,0.097,540.6529999999999,0,470.42100000000005,563.7429999999999,0,0,499.3220000267029,500.14600002765656,0,38,4609.100000023842,0.800000011920929,
run3,16293.603000044823,545.9899999999682,13.139999999999992,0.081,541.9170000000001,0,470.835,564.329,0,0,529.2610000371933,529.9580000042915,0,39,4597.199999988079,9.899999976158142,
run4,16324.475000023842,545.3599999999661,12.828999999999999,0.226,538.0399999999998,0,465.78899999999993,550.413,0,0,548.3009999990463,548.9840000271797,0,39,4676.200000047684,0.9000000357627869,
run5,16190.55600001192,554.1079999999685,12.263999999999998,0.096,539.594,0,465.6689999999999,554.8870000000001,0,0,577.8040000200272,578.6409999728203,0,38,4707.699999988079,1.100000023841858,
run6,16121.305999994278,549.817999999972,13.148999999999994,0.074,539.6740000000002,0,466.44900000000007,560.821,0,0,449.4810000061989,450.81700003147125,0,37,4619.800000011921,8.699999988079071,
run7,16337.738000035286,545.1469999999767,13.69199999999999,0.06,545.144,0,473.15999999999997,552.6320000000002,0,0,588.9729999899864,590.1240000128746,0,38,4670.699999988079,8.900000035762787,
run8,17522.633000016212,544.3759999999705,12.861000000000002,0.117,795.2189999999999,0,661.3919999999999,594.8660000000001,0,0,5583.259999990463,5583.4580000042915,0,40,5130.300000011921,0.8999999761581421,
run9,16324.120000004768,549.6489999999686,12.298000000000016,0.115,533.0260000000001,0,461.47799999999995,557.491,0,0,596.7520000338554,597.5360000133514,0,37,4674.099999964237,9.699999988079071,
run10,17062.2689999938,566.7689999999527,13.321000000000005,0.095,567.7270000000003,0,486.744,566.8779999999999,0,0,570.6319999694824,571.2659999728203,0,37,4896.899999976158,11.799999952316284,
run11,16671.02799999714,543.4359999999706,15.135000000000002,0.077,543.349,0,455.23,562.4369999999999,0,0,630.1560000181198,630.8109999895096,0,40,4595.300000011921,9.599999964237213,
run12,16864.240999996662,555.928999999955,12.193000000000001,0.099,552.0609999999999,0,474.058,560.3309999999999,0,0,612.2019999623299,612.8359999656677,0,37,4817.200000047684,10.400000035762787,
run13,16334.457999944687,550.1889999999695,14.540000000000006,0.125,551.878,0,467.94300000000004,553.8639999999999,0,0,521.2769999504089,522.289999961853,0,36,4629.599999964237,9.600000023841858,
run14,16847.40299999714,568.575999999973,13.071,0.266,552.9469999999999,0,476.0609999999999,564.8849999999999,0,0,564.2310000061989,565.505999982357,0,37,4695,9.600000023841858,
run15,16293.39599995184,542.9099999999742,11.914000000000005,0.05,568.1110000000003,0,481.461,543.4400000000002,0,0,568.2719999551773,569.1829999685287,0,40,4746.400000035763,0.8999999761581421,
run16,16453.17699998617,554.6299999999658,12.190000000000001,0.191,559.428,0,467.817,553.696,0,0,497.96299999952316,498.5519999861717,0,38,4642.600000023842,9.599999964237213,
run17,16111.023999989033,537.2849999999739,12.573,0.083,533.9949999999998,0,465.3430000000001,555.705,0,0,537.5099999904633,538.1060000061989,0,39,4594.399999976158,9.300000011920929,
run18,16468.127000033855,551.1779999999671,12.189000000000012,0.089,551.023,0,472.495,551.6290000000001,0,0,703.7140000462532,704.5879999995232,0,38,4636.5,0.9000000357627869,
run19,17234.87699997425,564.1889999999553,13.987000000000013,0.097,560.7650000000001,0,474.846,551.4870000000001,0,0,549.1499999761581,550.4629999995232,0,40,4826.900000035763,8.899999976158142,
run20,15987.844000041485,535.3139999999729,12.124000000000002,0.111,541.6620000000001,0,468.153,562.3430000000002,0,0,509.75999999046326,510.29900002479553,0,38,4636.5,1,
run21,16122.726999998093,540.9719999999816,12.649000000000013,0.12,542.4140000000002,0,467.99199999999996,553.3129999999999,0,0,570.5889999866486,571.1990000009537,0,38,4688.699999988079,9.199999988079071,
run22,15976.693000018597,544.2809999999769,12.285000000000014,0.166,537.6829999999998,0,470.17400000000004,544.761,0,0,539.3180000185966,540.0019999742508,0,37,4639.199999988079,9.899999976158142,
run23,17036.47399997711,559.5549999999573,12.305000000000009,0.067,554.1689999999998,0,476.633,554.394,0,0,564.561999976635,565.5830000042915,0,38,5022.299999952316,9.599999964237213,
run24,16115.161000013351,547.6679999999761,11.130000000000006,0.111,545.3750000000002,0,474.2180000000001,541.868,0,0,598.1669999957085,599.158999979496,0,36,4633,9.300000011920929,
