,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,10456.199000000954,333.27499999997684,10.103000000000003,0.093,352.2950000000001,0,294.548,183.101,0,0,573.9319999814034,574.7480000257492,0,27,2337.399999976158,0.800000011920929,
run1,10899.01399999857,365.6339999999754,9.966000000000006,0.216,338.752,0,280.65099999999995,159.80499999999998,0,0,654.8230000138283,655.5839999914169,0,26,2346.300000011921,0.699999988079071,
run2,10345.491999983788,344.92299999997647,10.656000000000006,0.114,326.8810000000001,0,264.21599999999995,149.98000000000002,0,0,494.7179999947548,495.93299996852875,0,28,2231.100000023842,3.600000023841858,
run3,10265.79899996519,340.76599999997427,10.969000000000012,0.095,330.15199999999993,0,278.45099999999996,152.263,0,0,466.40099996328354,467.347000002861,0,24,2302.100000023842,0.800000011920929,
run4,10425.102999985218,343.1339999999769,9.199000000000002,0.091,334.131,0,270.14099999999996,150.19199999999998,0,0,578.6430000066757,579.3610000014305,0,27,2391.800000011921,0.699999988079071,
run5,10467.277999997139,351.35499999997495,11.205000000000007,0.082,338.6910000000001,0,271.939,152.13299999999998,0,0,521.3249999880791,522.1080000400543,0,26,2268.800000011921,0.699999988079071,
run6,10385.634000003338,337.95999999997366,11.256000000000007,0.079,340.5030000000001,0,279.172,156.32,0,0,620.0090000033379,620.8920000195503,0,24,2266.900000035763,0.800000011920929,
run7,10532.012000024319,342.6729999999773,11.132999999999996,0.101,353.21,0,294.02199999999993,180.37000000000003,0,0,463.51900005340576,464.42700004577637,0,29,2311.199999988079,0.699999988079071,
run8,10433.52999997139,342.5969999999743,9.653000000000008,0.051,337.76300000000003,0,272.15700000000004,152.597,0,0,578.6549999713898,579.5830000042915,0,27,2351.7999999523163,4.100000023841858,
run9,10302.347999989986,342.35699999997024,10.982000000000024,0.139,329.4329999999999,0,264.48900000000003,153.45199999999997,0,0,511.06999999284744,511.8439999818802,0,26,2334.5,4.100000023841858,
run10,10539.773999989033,350.8919999999791,11.537999999999993,0.063,335.34599999999995,0,275.40799999999996,151.17499999999998,0,0,465.0170000195503,465.9699999690056,0,24,2276.600000023842,0.800000011920929,
run11,10567.319000005722,344.2219999999754,10.752000000000008,0.089,347.6710000000001,0,290.33000000000004,163.93200000000002,0,0,519.4659999608994,520.2969999909401,0,26,2296.600000023842,0.800000011920929,
run12,10656.299000024796,342.02199999997055,10.933999999999997,0.118,381.65199999999993,0,321.41700000000003,187.16400000000002,0,0,499.2890000343323,500.30000001192093,0,26,2266.199999988079,0.7999999523162842,
run13,10749.78299999237,365.1739999999676,10.890000000000008,0.121,349.33200000000005,0,286.699,157.544,0,0,520.4860000014305,521.2239999771118,0,25,2293.900000035763,0.800000011920929,
run14,11029.203999996185,360.4459999999683,11.602000000000007,0.117,359.27900000000005,0,297.679,164.58599999999998,0,0,585.2709999680519,586.5909999608994,0,26,2520.599999964237,0.8999999761581421,
run15,10238.40699994564,341.0089999999737,10.674999999999997,0.077,333.10400000000016,0,269.979,152.242,0,0,636.0949999690056,637.0379999876022,0,27,2339.699999988079,0.7000000476837158,
run16,10446.615000009537,341.52499999997667,10.502000000000004,0.055,333.189,0,267.41200000000003,152.285,0,0,530.7870000004768,531.6340000033379,0,25,2371.900000035763,0.800000011920929,
run17,10257.196999967098,342.8799999999806,10.973999999999993,0.13,327.615,0,269.363,149.25400000000002,0,0,511.9409999847412,512.6359999775887,0,24,2305.199999988079,0.800000011920929,
run18,10822.587000012398,341.9349999999658,11.958999999999994,0.062,375.729,0,287.54200000000003,159.04600000000002,0,0,608.8230000138283,609.6459999680519,0,24,2371.399999976158,4,
run19,11816.796000003815,377.2079999999607,12.793000000000008,0.092,397.029,0,324.56600000000003,191.46800000000005,0,0,503.2680000066757,504.4729999899864,0,26,2498.199999988079,0.7999999523162842,
run20,11554.221000015736,375.8069999999589,12.370000016689303,0.104,400.716,0,330.695,186.1,0,0,727.4690000414848,728.2179999947548,0,24,2555.599999964237,0.800000011920929,
run21,11050.87399995327,361.47799999996613,12.690000000000012,0.073,382.2880000000002,0,319.853,193.463,0,0,552.9459999799728,553.6679999828339,0,26,2573.099999964237,1,
run22,11110.078999996185,360.09099999997045,10.436000000000003,0.093,394.1770000000001,0,324.61400000000003,192.159,0,0,573.539999961853,574.3849999904633,0,28,2356.800000011921,0.7000000476837158,
run23,14159.020000040531,517.8539999999953,15.771999999999997,0.12,514.684,0,446.683,237.38200000000003,0,0,530.3220000267029,531.1320000290871,0,26,2510.100000023842,3.900000035762787,
run24,10509.84399998188,351.82799999997405,10.415000000000003,0.06,340.25300000000004,0,275.588,149.676,0,0,542.0099999904633,542.7549999952316,0,27,2383.899999976158,4,
run25,10678.050000011921,349.93999999997123,10.016000000000002,0.081,344.39500000000004,0,290.37600000000003,166.27899999999997,0,0,723.5170000195503,724.4810000061989,0,27,2427.699999988079,0.8999999761581421,
run26,11074.975999951363,373.04399999996673,11.206000000000007,0.067,358.04400000000004,0,291.16700000000003,163.614,0,0,505.25,506.10399997234344,0,26,2519.5,0.8999999761581421,
run27,10713.427999999047,356.80599999997025,29.934999963760372,0.058,383.92099999999994,0,323.995,180.793,0,0,584.2310000061989,584.9729999899864,0,26,2461.7999999523163,0.800000011920929,
run28,10785.643000006676,366.13899999996744,11.280000000000008,0.094,356.468,0,288.66700000000003,166.87699999999998,0,0,462.30599999427795,463.0989999771118,0,27,2349.699999988079,0.800000011920929,
run29,10663.509999990463,353.0599999999683,10.156000000000002,0.198,380.3270000000002,0,317.066,160.27700000000002,0,0,676.7139999866486,677.8100000023842,0,25,2329.400000035763,0.800000011920929,
run30,10340.243000030518,345.9619999999802,10.983999999999998,0.092,333.26899999999995,0,278.102,157.313,0,0,463.94400000572205,464.78400003910065,0,27,2273.7000000476837,3.600000023841858,
run31,10498.519999980927,334.0159999999769,12.147000000000004,0.162,360.86899999999997,0,302.066,184.29500000000002,0,0,548.9330000281334,550.4850000143051,0,27,2458.400000035763,0.8999999761581421,
run32,10764.06299996376,351.580999999969,10.939,0.061,370.23499999999996,0,308.97299999999996,189.049,0,0,482.6609999537468,483.41899996995926,0,27,2359.600000023842,0.7999999523162842,
run33,11394.896999955177,364.5919999999698,10.583000000000004,0.081,388.061,0,323.962,198.36499999999992,0,0,542.9569999575615,543.7339999675751,0,26,2610.300000011921,0.800000011920929,
run34,10517.703999996185,344.2999999999704,10.055,0.072,335.341,0,273.81999999999994,160.487,0,0,609.647000014782,610.5310000181198,0,26,2232.699999988079,0.800000011920929,
run35,10400.705999970436,340.6249999999713,10.832000000000003,0.094,335.875,0,284.724,158.31699999999998,0,0,568.2049999833107,569.744000017643,0,24,2376.199999988079,0.800000011920929,
run36,10944.041999995708,361.85099999997107,12.067,0.087,381.93199999999996,0,316.397,188.336,0,0,469.69499999284744,470.96699994802475,0,27,2442.699999988079,0.7999999523162842,
run37,10938.698000013828,357.69999999996355,17.962000001430514,0.099,385.09799999999996,0,319.015,181.452,0,0,522.7649999856949,523.7139999866486,0,26,2473.2000000476837,1.300000011920929,
run38,10783.066999971867,360.63899999996806,11.667000000000003,0.103,385.05500000000006,0,297.513,159.709,0,0,409.3439999818802,410.1510000228882,0,25,2387.5,0.800000011920929,
run39,10783.708000004292,352.52999999997115,14.921,0.065,376.8760000000001,0,311.642,191.62100000000004,0,0,591.4419999718666,592.470999956131,0,26,2421.5,0.800000011920929,
run40,10491.68499994278,337.06499999997413,10.447000000000006,0.141,373.57500000000005,0,304.688,157.44000000000003,0,0,478.7539999485016,479.4439999461174,0,27,2354.899999976158,0.699999988079071,
run41,10895.117000043392,357.80099999997,13.030999999999997,0.077,386.1790000000001,0,322.175,191.968,0,0,512.0049999952316,512.9539999961853,0,25,2418,0.699999988079071,
run42,11086.489999949932,360.6919999999691,11.790999999999997,0.067,376.77299999999997,0,311.33200000000005,191.014,0,0,614.1009999513626,614.8969999551773,0,27,2435.300000011921,0.8999999761581421,
run43,10920.744000017643,364.1379999999677,10.733000000000008,0.119,399.732,0,331.241,182.02800000000002,0,0,476.1200000047684,476.92700004577637,0,26,2296.100000023842,0.8999999761581421,
run44,10324.182999968529,339.4829999999743,10.849000000000014,0.067,334.2470000000001,0,278.375,157.75799999999998,0,0,498.8629999756813,499.7310000061989,0,26,2249.699999988079,0.8999999761581421,
run45,10479.639000003337,346.43099999997554,11.68900000000001,0.089,336.1360000000001,0,270.613,151.503,0,0,477.72000002861023,478.63400000333786,0,27,2390.800000011921,0.800000011920929,
run46,10637.97000002861,348.44199999996556,11.207000000000019,0.071,378.9900000000002,0,315.352,156.258,0,0,525.3820000290871,526.1960000395775,0,25,2487.199999988079,1,
run47,10206.383000016212,336.6419999999737,11.145999999999994,0.137,333.76499999999993,0,270.757,155.73000000000002,0,0,440.7820000052452,441.66000002622604,0,28,2233.599999964237,0.800000011920929,
run48,10665.350000023842,355.479999999972,12.493000000000011,0.065,344.299,0,286.07800000000003,157.867,0,0,502.58799999952316,503.4879999756813,0,25,2467,0.8999999761581421,
run49,11290.20199996233,370.6029999999674,15.779999999999996,0.107,398.0969999999999,0,335.841,203.81199999999998,0,0,518.0199999809265,518.7799999713898,0,30,2600.199999988079,1.199999988079071,
