,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,12248.921000003815,253.499999999988,86.61199999999894,0.101,265.09800000000007,0,239.86600000000004,179.51899999999998,0,0,1370.4020000100136,1370.8730000257492,0,4,1207.7000000476837,0.800000011920929,
run1,12220.221000015736,231.15199999999118,80.7159999999978,0.083,265.0739999999999,0,254.45100000000002,181.73700000000002,0,0,1926.0099999904633,1926.2870000004768,0,4,1529.5,0.8999999761581421,
run2,12552.730000019073,244.6989999999884,88.24999999999821,0.074,249.48000000000005,0,235.52399999999997,171.70699999999997,0,0,1933.9580000042915,1934.3330000042915,0,4,1588.300000011921,0.8999999761581421,
run3,13166.069999992847,236.7649999999897,89.63100000000024,0.126,282.4260000000001,0,278.566,167.269,0,0,2516.276999950409,2516.614999949932,0,4,2135.400000035763,3.5,
run4,10278.805999994278,187.3549999999949,65.4640000000022,0.177,224.62999999999994,0,213.87499999999997,156.685,0,0,1564,1564.2360000014305,0,4,1307.6000000238419,0.8999999761581421,
run5,14485.212999999523,296.473999999993,104.14299999999773,0.119,336.311,0,304.4729999999999,191.093,0,0,1749.925000011921,1750.341000020504,0,4,1455.199999988079,2.199999988079071,
run6,14104.852999985218,289.72299999998364,102.83399999999814,0.061,299.897,0,281.8539999999999,211.45199999999997,0,0,2162.897000014782,2163.4390000104904,0,4,1876.699999988079,1.9000000357627869,
run7,14867.041999995708,333.40699999999066,108.32300000000019,0.068,320.84999999999997,0,289.50499999999994,199.4180000000001,0,0,1818.7280000448227,1818.960000038147,0,4,1534.800000011921,2.100000023841858,
run8,10704.674000024796,193.43199999999385,69.20800000000193,0.229,233.12500000000009,0,214.03500000000003,152.74399999999994,0,0,1761.6949999928474,1761.9319999814034,0,4,1390.8999999761581,1.2999999523162842,
run9,9691.54399996996,166.72299999999615,63.38400000000252,0.063,216.17799999999994,0,209.747,146.91800000000003,0,0,1643.7609999775887,1644.1200000047684,0,4,1376,1.899999976158142,
run10,10097.962999999523,178.59999999999562,65.239000000002,0.141,209.56500000000008,0,195.679,142.46,0,0,1582.4449999928474,1582.7590000033379,0,4,1330.199999988079,2.100000023841858,
run11,10903.48299998045,190.23399999999555,68.99100000000197,0.122,224.54699999999997,0,212.83599999999998,166.47600000000003,0,0,1861.8870000243187,1862.3199999928474,0,4,1454.699999988079,0.699999988079071,
run12,9922.224000036716,165.01099999999641,64.67100000000347,0.065,212.5749999999999,0,207.29800000000003,136.656,0,0,1758.9050000309944,1759.3580000400543,0,4,1456.300000011921,2,
run13,10071.927999973297,174.38699999999602,65.6260000000023,0.162,215.72600000000003,0,205.12000000000006,154.44099999999997,0,0,1664.380999982357,1664.617999970913,0,4,1383.300000011921,2.099999964237213,
run14,11121.891999959946,195.59099999999552,76.46899996089999,0.096,239.3779999999999,0,228.06199999999993,168.40600000000003,0,0,1690.222000002861,1690.6019999980927,0,4,1453.800000011921,0.9000000357627869,
run15,10650.200999975204,184.95599999999558,68.104000000002,0.059,223.47400000000007,0,210.173,147.81399999999996,0,0,1785.652999997139,1785.9300000071526,0,4,1403.800000011921,1.899999976158142,
run16,9822.228999972343,164.317999999997,60.332000000001955,0.081,205.083,0,201.721,150.669,0,0,1670.7629999518394,1671.0169999599457,0,4,1371.7999999523163,1.699999988079071,
run17,11388.388000011444,214.1259999999948,73.51100000000012,0.099,241.8979999999999,0,223.15999999999997,164.14100000000002,0,0,1639.6399999856949,1639.8740000128746,0,4,1386.0999999642372,1.100000023841858,
run18,11848.629000008106,222.80399999999352,79.13699999999974,0.073,246.90799999999996,0,226.499,150.22599999999994,0,0,1763.841000020504,1764.1570000052452,0,4,1475.300000011921,1.800000011920929,
run19,10197.402000010014,177.48399999999629,64.82300000000244,0.149,217.21300000000008,0,208.68599999999995,155.942,0,0,1759.277999997139,1759.6920000314713,0,4,1506.5,1.5,
run20,10472.521000027657,182.95899999999548,65.53400000000245,0.1,217.81800000000004,0,211.02700000000004,153.56700000000004,0,0,1782.1579999923706,1782.4120000004768,0,4,1521.800000011921,1.800000011920929,
run21,9961.347999989986,168.86299999999622,62.3280000000024,0.133,211.35200000000003,0,200.68099999999998,152.16399999999996,0,0,1751.067999958992,1751.2719999551773,0,4,1455.4000000357628,0.800000011920929,
run22,11316.365000009537,209.14199999999522,73.71700000000087,0.077,259.977,0,239.973,158.488,0,0,1698.2549999952316,1698.658999979496,0,4,1400.3999999761581,1.800000011920929,
run23,10115.781000032424,169.43399999999846,63.627000000003136,0.049,209.49599999999998,0,200.716,144.09600000000003,0,0,1855.701000034809,1855.9990000128746,0,4,1539.7000000476837,0.800000011920929,
run24,11830.495999991894,221.3619999999937,78.18399999999953,0.061,252.807,0,244.30299999999997,169.57699999999994,0,0,1847.8370000123978,1848.0949999690056,0,4,1490.5,1.5999999642372131,
run25,10394.425000011921,178.01999999999603,66.09200000000227,0.107,221.858,0,214.05100000000002,146.548,0,0,1806.0009999871254,1806.2689999938011,0,4,1536.3999999761581,0.7000000476837158,
run26,9973.73299998045,162.46499999999634,63.12100000000301,0.117,199.39,0,197.478,132.847,0,0,1825.7179999947548,1825.9969999790192,0,4,1496.199999988079,0.7000000476837158,
run27,10030.396000027657,161.23499999999785,64.48800000000298,0.156,211.1659999999999,0,209.66300000000004,150.95999999999998,0,0,1831.9340000152588,1832.182000041008,0,4,1562.1000000238419,2.300000011920929,
run28,10632.828999996185,187.60599999999567,68.24700000000226,0.081,211.40299999999988,0,195.31,143.79,0,0,1825.2260000109673,1825.54699999094,0,4,1521.7999999523163,2.399999976158142,
run29,10225.45300000906,173.7979999999973,65.04500000000291,0.069,219.88999999999993,0,213.263,152.94,0,0,1772.438000023365,1772.7379999756813,0,4,1507.2999999523163,0.800000011920929,
run30,11255.520999968052,200.12299999999487,73.61800000000089,0.095,237.22200000000004,0,222.92600000000002,154.07899999999998,0,0,1823.6060000061989,1824.0109999775887,0,4,1557.1000000238419,0.5999999642372131,
run31,10935.61100000143,195.84299999999567,69.45900000000185,0.071,237.538,0,223.95100000000002,153.109,0,0,1845.7319999933243,1846.0540000200272,0,4,1574.1000000238419,0.800000011920929,
run32,10515.780000030994,186.6389999999953,67.16300000000243,0.098,218.22799999999998,0,208.38600000000002,156.56199999999998,0,0,1821.5049999952316,1821.8740000128746,0,4,1548.199999988079,1.899999976158142,
run33,9934.92399996519,167.52899999999664,64.10400000000287,0.088,206.85599999999997,0,196.38700000000003,138.27599999999995,0,0,1729.7819999456406,1730.4199999570847,0,4,1396.5999999642372,1.800000011920929,
run34,10428.800000011921,182.73799999999534,65.88600000000221,0.102,220.894,0,201.59400000000002,143.626,0,0,1665.2389999628067,1665.4860000014305,0,4,1423.300000011921,0.800000011920929,
run35,9712.86100000143,157.94799999999842,62.487000000002844,0.105,196.23499999999999,0,195.37899999999993,142.931,0,0,1819.2689999938011,1819.583999991417,0,4,1546.3999999761581,0.8999999761581421,
run36,11795.335000038147,224.01599999999297,77.80400000000002,0.135,255.20299999999995,0,238.50300000000001,154.79300000000006,0,0,1833.2520000338554,1833.6050000190735,0,4,1568.9000000357628,1.899999976158142,
run37,11438.43799996376,208.0729999999931,76.71300000000068,0.131,249.0780000000001,0,233.659,153.645,0,0,1775.0919999480247,1775.4120000004768,0,4,1457.2000000476837,2,
run38,11832.70600003004,239.61499999999057,82.12999999999855,0.075,248.432,0,233.814,193.092,0,0,1838.1700000166893,1838.6110000014305,0,4,1611.699999988079,0.800000011920929,
run39,10636.793000042439,190.61599999999524,66.48700000000296,0.104,223.96399999999994,0,211.652,162.346,0,0,1792.1150000095367,1792.3379999995232,0,4,1519.800000011921,0.699999988079071,
run40,11778.995999991894,225.33299999999386,78.85400000000017,0.136,248.38599999999988,0,241.02899999999997,161.85500000000002,0,0,1709.7189999818802,1710.0270000100136,0,4,1399.2999999523163,1.0999999642372131,
run41,10357.652999997139,169.02699999999737,64.63400000000325,0.132,217.39899999999997,0,201.99599999999998,143.80799999999996,0,0,2021.8209999799728,2022.0640000104904,0,4,1634.800000011921,0.8999999761581421,
run42,10487.42199999094,177.00199999999575,63.0560000000025,0.098,213.56799999999993,0,205.47499999999997,161.54899999999995,0,0,1847.7400000095367,1848.0310000181198,0,4,1461.699999988079,1.600000023841858,
run43,10849.614999949932,199.89999999999472,70.072000000002,0.08,230.11999999999998,0,216.28200000000004,141.438,0,0,1666.5019999742508,1666.8159999847412,0,4,1394.9000000357628,0.9000000357627869,
run44,10339.607000052929,171.26299999999748,64.58600000000294,0.102,221.559,0,212.57699999999997,148.354,0,0,1868.6740000247955,1868.9520000219345,0,4,1582,0.699999988079071,
run45,10332.64099997282,183.46899999999536,64.25700000000258,0.084,204.2870000000001,0,194.12700000000004,142.83900000000003,0,0,1783.3240000009537,1783.6209999918938,0,4,1476.800000011921,1.699999988079071,
run46,10217.481999993324,169.00599999999727,64.88500000000285,0.063,209.78799999999998,0,204.52100000000002,146.965,0,0,1871.182000041008,1871.438000023365,0,4,1596.5,0.9000000357627869,
run47,10868.194999992847,191.66699999999585,68.141000000002,0.071,224.401,0,214.564,157.51899999999998,0,0,1886.0170000195503,1886.2590000033379,0,4,1619.699999988079,1.800000011920929,
run48,11495.446000039577,212.39499999999452,73.92100000000042,0.078,246.67799999999983,0,227.41199999999998,160.623,0,0,1860.5580000281334,1860.9360000491142,0,4,1603.8999999761581,1,
run49,10316.365999996662,176.51899999999608,63.72000000000201,0.105,210.98699999999997,0,202.73899999999995,149.701,0,0,1840.3080000281334,1840.5509999990463,0,4,1561.699999988079,1.800000011920929,
