,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup0run0,7001.362000000008,248.87900000000909,4.5829999999999975,0.049,122.28200000000001,0,143.729,227.48700000000002,0,0,4700.6860000000015,4701.051000000007,0,2,4455,8.099999999991269,,
setup0run1,6693.547999999952,296.838,4.635000000000006,0.08,299.41400000000016,0,307.466,311.136,0,0,4337.876999999862,4338.125999999931,0,2,4048.2999999998137,8.399999999906868,,
setup0run2,6756.938000000082,310.5359999999957,4.659999999999993,0.068,283.66800000000006,0,307.37300000000005,281.143,0,0,4441.195999999996,4441.467999999877,0,2,4185.700000000186,8.100000000093132,,
setup0run3,7389.953999999911,310.5800000000005,4.378999999999996,0.09,281.32900000000006,0,284.757,409.51099999999997,0,0,4474.180999999866,4474.49700000044,0,2,4202.199999999255,8.700000000186265,,
setup0run4,6531.453000000678,303.64899999999807,4.4370000000000065,0.128,302.284,0,305.431,318.176,0,0,4336.219000000507,4336.485000000335,0,2,4059.5,8.899999999441206,,
setup0run5,6725.746999999508,314.7280000000039,4.387,0.085,272.6959999999999,0,285.717,289.915,0,0,4532.838999999687,4533.084999999031,0,2,4253.200000001118,8.800000000745058,,
setup0run6,7088.792999999598,291.71300000000997,4.7139999999999995,0.076,296.634,0,313.101,373.307,0,0,4445.382999999449,4445.763000000268,0,2,4058.300000000745,11.099999999627471,,
setup0run7,6537.396999999881,301.72200000000106,4.411000000000001,0.105,308.74800000000005,0,327.51399999999995,333.23,0,0,4298.337000001222,4298.716000000015,0,2,4016.39999999851,9.900000000372529,,
setup0run8,6953.212999999523,312.7430000000022,3.7969999999999926,0.09,285.25800000000004,0,283.764,321.08299999999997,0,0,4520.559999998659,4520.77499999851,0,2,4255.699999999255,11,,
setup0run9,6816.870999999344,312.55999999999244,4.080999999999997,0.115,302.7049999999999,0,301.46799999999996,290.005,0,0,4548.875,4549.175000000745,0,2,4237.699999999255,8.300000000745058,,
setup0run10,7337.0489999987185,310.35399999999447,3.879000000000005,0.044,305.57899999999995,0,325.33899999999994,363.469,0,0,4696.89999999851,4697.144999999553,0,2,4299.60000000149,9.200000002980232,,
setup0run11,6822.947000000626,309.9469999999952,4.236000000000004,0.093,305.8489999999999,0,321.903,292.368,0,0,4516.44299999997,4517.026000000536,0,2,4225,10.899999998509884,,
setup0run12,6830.21799999848,293.8920000000075,4.2559999999999985,0.079,320.10699999999997,0,318.62399999999997,332.582,0,0,4474.902999997139,4475.217000000179,0,2,4114.70000000298,11,,
setup0run13,7219.171999998391,290.7810000000102,4.653000000000002,0.112,341.102,0,338.25699999999995,327.71500000000003,0,0,4455.796000000089,4456.10699999705,0,2,4061.900000002235,9.799999997019768,,
setup0run14,7044.716000001878,312.3140000000035,3.8139999999999903,0.065,281.6480000000001,0,285.48600000000005,283.846,0,0,4499.842000000179,4500.157999999821,0,2,4167.5,9.800000000745058,,
setup0run15,6647.5760000012815,309.36800000000414,4.125999999999994,0.06,275.68600000000004,0,300.12200000000007,307.297,0,0,4411.070000000298,4411.671000000089,0,2,4053.60000000149,8.5,,
setup0run16,6864.638000000268,314.44799999999634,4.401000000000007,0.116,293.676,0,305.786,292.75000000000006,0,0,4630.64999999851,4630.892000000924,0,2,4323.10000000149,11,,
setup0run17,6860.793999999762,311.3809999999979,4.517999999999986,0.084,280.20199999999994,0,286.98400000000004,270.72600000000006,0,0,4520.638000000268,4520.857000000775,0,2,4221.89999999851,8.599999997764826,,
setup0run18,6701.620000004768,312.7079999999972,4.263999999999994,0.076,286.28,0,300.28099999999995,301.943,0,0,4481.621000006795,4481.938000001013,0,2,4120.29999999702,12.100000001490116,,
setup0run19,7293.675999999046,292.93200000000405,4.488999999999992,0.254,311.498,0,325.924,362.61599999999993,0,0,4402.289999999106,4402.564999997616,0,2,4044.8000000044703,9.900000005960464,,
setup0run20,6583.366999998689,295.5880000000068,4.144999999999998,0.085,326.99299999999994,0,324.83299999999997,277.77099999999996,0,0,4357.35000000149,4357.616999998689,0,2,4006.3000000044703,8.200000002980232,,
setup0run21,6675.718999996781,294.3280000000065,4.084000000000008,0.089,324.419,0,319.41300000000007,283.147,0,0,4408.081999994814,4408.4589999988675,0,2,4119.5,9.600000001490116,,
setup0run22,7063.887000001967,301.58600000000877,4.719999999999997,0.102,287.76,0,319.3639999999999,286.71899999999994,0,0,4613.0410000011325,4613.414999999106,0,2,4271.19999999553,9.199999995529652,,
setup0run23,6911.295999996364,305.1339999999995,4.861999999999998,0.052,310.3099999999999,0,310.391,322.16700000000003,0,0,4697.344999998808,4697.691999994218,0,2,4257.10000000149,9.299999997019768,,
setup0run24,6909.317999996245,300.3370000000011,4.804000000000005,0.069,319.03100000000006,0,328.509,289.924,0,0,4388.357000000775,4388.607000000775,0,2,4031,8.5,,
setup0run25,7108.284999996424,320.3539999999902,3.9669999999999956,0.062,308.92300000000006,0,332.90199999999993,289.637,0,0,4527.674000002444,4528.06099999696,0,2,4257.39999999851,7.899999998509884,,
setup0run26,6564.497999995947,287.3980000000077,3.900000000000008,0.081,313.45,0,301.881,284.54999999999995,0,0,4342.115999996662,4342.390999995172,0,2,3984,8.600000001490116,,
setup0run27,6203.328000001609,284.6080000000085,4.2219999999999915,0.088,268.557,0,283.47099999999995,280.245,0,0,4040.6840000003576,4041.155000001192,0,2,3785.60000000149,7.799999997019768,,
setup0run28,6759.070000000298,278.05200000001014,4.1870000000000065,0.104,279.53,0,286.822,288.776,0,0,4540.910000003874,4541.195000000298,0,2,4162.60000000149,7.899999998509884,,
setup0run29,6575.517000001967,285.1500000000076,3.9149999999999934,0.089,317.88700000000006,0,318.558,278.29999999999995,0,0,4266.684000000358,4266.956999994814,0,2,4005.89999999851,8.199999995529652,,
setup0run30,6688.561999998987,300.23400000000186,3.968000000000003,0.065,331.14799999999997,0,329.78200000000004,305.8260000000001,0,0,4477.100999996066,4477.3460000008345,0,2,4202.70000000298,8.5,,
setup0run31,6823.32499999553,279.9090000000106,3.715000000000004,0.076,294.5789999999999,0,294.085,301.942,0,0,4310.195000000298,4310.420999996364,0,2,4066.60000000149,8.199999995529652,,
setup0run32,6692.115999996662,295.35500000000496,4.1799999999999935,0.086,278.57000000000005,0,314.87199999999996,286.152,0,0,4390.550999999046,4390.895999997854,0,2,4012.89999999851,7.600000001490116,,
setup0run33,9064.052000001073,481.0469999999801,4.621999999999993,0.065,502.46099999999996,0,476.09600000000006,355.849,0,0,6627.576999999583,6627.972000002861,0,2,6269.89999999851,8.399999998509884,,
setup0run34,7236.716000005603,327.75899999999245,4.405999999999995,0.065,356.65599999999995,0,355.648,326.678,0,0,4872.057999998331,4872.440000005066,0,2,4551.29999999702,9.700000002980232,,
