,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,6055.973000000013,228.33200000000832,4.9339999999999975,0.086,169.63499999999996,0,202.42300000000003,269.31699999999995,0,0,3349.795000000013,3350.068000000014,0,2,3718.5,10,
run1,8987.785000000003,241.5720000000094,4.012000000000002,0.15,374.015,0,440.2420000000001,281.538,0,0,6244.465000000011,6244.78300000001,0,2,3868.699999999997,8.400000000008731,
run2,6957.703999999998,244.72300000000837,3.812999999999988,0.096,371.1219999999999,0,449.872,324.51800000000003,0,0,4146.815999999992,4147.122000000003,0,2,3918.5,8.699999999982538,
run3,7721.154999999999,285.85300000000245,4.507000000000008,0.084,405.2559999999999,0,467.959,334.886,0,0,4976.408999999985,4976.743999999977,0,2,4719.8000000000175,8.299999999988358,
run4,7818.945000000007,293.99700000000144,4.175000000000009,0.107,416.647,0,477.469,349.88300000000004,0,0,5044.089000000007,5044.394,0,2,4789.5,9.39999999999418,
run5,8829.149999999994,389.2399999999915,4.009999999999999,0.123,526.283,0,536.8320000000001,353.27600000000007,0,0,6101.673999999999,6101.934000000008,0,2,5828.599999999977,8.39999999999418,
run6,7849.228000000003,286.81700000000586,4.067999999999999,0.098,427.219,0,517.0900000000001,351.96500000000003,0,0,5023.709999999992,5023.948000000004,0,2,4700.8000000000175,9.10000000000582,
run7,7766.834999999992,287.18200000000496,3.861999999999995,0.068,414.592,0,524.776,321.181,0,0,5046.561999999976,5046.840999999986,0,2,4781.400000000023,8.89999999999418,
run8,7709.604999999981,282.9220000000057,4.474999999999997,0.098,449.24899999999997,0,502.66999999999996,301.548,0,0,4973.68399999995,4974.048999999999,0,2,4734.100000000035,9.700000000011642,
run9,7130.302999999956,244.79300000000978,3.6670000000000025,0.138,358.925,0,407.223,261.487,0,0,4360.226999999955,4360.539999999979,0,2,4057.0999999999767,9.100000000034925,
run10,7818.0380000000005,285.1580000000045,4.175000000000008,0.076,446.90400000000005,0,487.98100000000005,371.635,0,0,5105.209000000032,5105.428000000014,0,2,4831.299999999988,8.5,
run11,10156.978000000003,509.97599999997135,5.098999999999995,0.111,426.1310000000001,0,464.31700000000006,335.01,0,0,7446.734999999986,7447.06799999997,0,2,7119.100000000035,11.299999999988358,
run12,8355.407999999996,320.55399999999975,5.031000000000002,0.097,431.797,0,502.02199999999993,393.861,0,0,5628.935999999987,5629.369000000006,0,2,5350.700000000012,9.099999999976717,
run13,7881.016000000003,293.39199999999954,3.9270000000000076,0.117,409.606,0,466.973,288.624,0,0,5126.761999999988,5127.021999999997,0,2,4777.600000000035,8.900000000023283,
