,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,7471.619000000006,278.9440000000057,5.469000000000002,0.067,128.348,0,138.319,194.58100000000002,0,0,1589.6849999999977,1590.5880000000034,0,2,4961.300000000003,8.599999999991269,
run1,6483.008000000002,252.78500000000557,4.20800000000001,0.061,291.925,0,287.958,396.19800000000004,0,0,3648.451000000001,3648.7390000000014,0,2,3625.5,9,
run2,8044.679000000004,344.44299999999265,5.2520000000000024,0.066,406.07899999999995,0,390.531,415.355,0,0,5176.868000000017,5177.179000000004,0,2,5023.700000000012,10.60000000000582,
run3,7085.029999999999,270.3610000000069,4.008999999999998,0.094,306.39500000000004,0,295.708,247.03100000000003,0,0,4310.915000000008,4311.252999999997,0,2,4295.899999999994,9.5,
run4,6796.758000000002,276.6370000000071,4.450000000000001,0.072,284.267,0,284.21299999999997,307.93499999999995,0,0,4100.256000000023,4100.725000000006,0,2,4040.6999999999825,8.60000000000582,
run5,6582.46100000001,297.83300000000344,4.9510000000000005,0.1,141.04,0,156.77100000000002,205.30599999999998,0,0,3827.68299999999,3827.953999999998,0,2,4195.6999999999825,9.300000000017462,
run6,7127.203000000009,287.7120000000061,3.9999999999999973,0.069,289.023,0,287.602,284.06600000000003,0,0,4277.5199999999895,4277.834999999992,0,2,4227.5,8.299999999988358,
run7,7000.917000000016,288.9500000000042,3.9609999999999967,0.138,296.5260000000001,0,287.093,243.30700000000002,0,0,4140.40400000001,4140.693999999989,0,2,4134.900000000023,8.5,
run8,7121.939000000013,296.01699999999676,3.7139999999999946,0.084,293.84200000000004,0,292.79099999999994,291.604,0,0,4418.286000000022,4418.650000000023,0,2,4387.400000000023,8.099999999976717,
run9,6174.591000000015,235.52500000001004,3.8980000000000006,0.075,259.267,0,257.137,287.86,0,0,3489.960000000021,3490.170000000042,0,2,3473.2000000000116,8.5,
run10,7106.694000000018,302.61299999999903,3.963999999999997,0.13,328.344,0,311.2699999999999,278.792,0,0,4400.456000000006,4400.683000000019,0,2,4354.200000000012,8.099999999976717,
run11,9979.53899999999,533.1159999999938,5.741000000000004,0.081,455.582,0,409.61299999999994,392.80400000000003,0,0,7003.6630000000005,7004.0839999999735,0,2,6990,12.899999999965075,
run12,7257.9160000000265,299.711000000005,5.34900000000001,0.062,315.32899999999995,0,309.657,297.632,0,0,4429.070999999996,4429.513000000035,0,2,4406.5,8.699999999953434,
run13,7532.131999999983,326.1199999999892,4.213000000000007,0.113,300.20699999999994,0,296.04100000000005,245.32299999999995,0,0,4828.314000000013,4828.641000000003,0,2,4762.700000000012,8.100000000034925,
run14,7316.0320000000065,328.20799999999144,4.599999999999998,0.17,287.61300000000006,0,285.086,270.115,0,0,4632.917000000016,4633.168000000005,0,2,4579.899999999965,7.599999999976717,
run15,6305.811000000045,247.1330000000094,3.972999999999994,0.059,271.463,0,267.88899999999995,273.29999999999995,0,0,3552.8190000000177,3553.0810000000056,0,2,3517.7999999999884,8.600000000034925,
run16,7274.805999999982,296.8540000000035,4.205999999999997,0.055,352.016,0,332.16299999999995,319.751,0,0,4434.526000000013,4434.810999999987,0,2,4384.299999999988,7.900000000023283,
run17,6880.40399999998,277.13100000000685,4.335999999999993,0.067,333.185,0,332.744,319.45599999999996,0,0,4045.1549999999697,4045.4009999999544,0,2,4023.2000000000116,9,
run18,6520.815999999992,253.2430000000036,4.032000000000007,0.054,312.63,0,302.6599999999999,286.805,0,0,3727.3850000000093,3727.723999999929,0,2,3715.7999999999884,8.5,
run19,7121.7360000000335,299.6340000000031,3.8809999999999927,0.077,278.866,0,267.867,291.08,0,0,4412.35699999996,4412.76099999994,0,2,4365.199999999953,9.79999999993015,
run20,7311.840000000084,321.143999999992,4.799999999999984,0.079,289.453,0,274.45799999999997,261.167,0,0,4570.819000000018,4571.085000000079,0,2,4541.400000000023,7.800000000046566,
run21,7310.180999999982,319.06899999999024,4.891999999999998,0.106,300.14399999999995,0,296.31699999999995,275.998,0,0,4649.465000000084,4649.771000000066,0,2,4588.899999999907,7.799999999930151,
run22,7117.765000000014,296.78600000000574,4.008999999999995,0.084,267.9069999999999,0,269.95399999999995,239.47500000000002,0,0,4240.168999999994,4240.516999999993,0,2,4236.699999999953,8.599999999976717,
run23,8022.655999999959,354.56999999998254,5.065000000000003,0.099,346.4980000000001,0,345.08299999999997,322.542,0,0,5169.052000000025,5169.515000000014,0,2,5155.199999999953,9.70000000006985,
run24,7189.903000000049,300.88700000000097,4.374999999999996,0.074,308.88300000000004,0,306.2989999999999,284.78200000000004,0,0,4331.135000000009,4331.533999999985,0,2,4306.400000000023,8.300000000046566,
run25,8379.109999999986,376.71299999997393,4.491000000000006,0.073,384.20900000000006,0,367.55,291.49399999999997,0,0,5488.449999999953,5488.746999999974,0,2,5493,8.79999999993015,
run26,6771.025000000023,277.84300000000826,3.914999999999994,0.06,285.498,0,291.83500000000004,266.849,0,0,4075.158999999985,4075.633999999962,0,2,4038.0999999999767,8.199999999953434,
run27,7378.366000000038,302.6239999999977,4.397000000000014,0.096,310.97400000000005,0,308.691,272.29299999999995,0,0,4637.380000000005,4637.719000000041,0,2,4572.70000000007,8.199999999953434,
run28,7202.540000000037,295.4070000000031,4.137999999999998,0.067,299.41499999999996,0,298.943,275.057,0,0,4431.4679999999935,4431.898000000045,0,2,4414,8.600000000093132,
run29,7029.423999999999,294.8630000000019,4.047000000000004,0.075,302.4599999999999,0,299.276,276.78599999999994,0,0,4345.711999999941,4346.164999999921,0,2,4328.699999999953,8,
run30,7231.956000000006,295.90700000000504,3.952000000000005,0.097,301.03400000000005,0,302.90299999999996,283.215,0,0,4443.885000000009,4444.170000000042,0,2,4394.29999999993,8,
run31,6138.939999999944,237.24900000000994,3.9629999999999868,0.057,261.24399999999997,0,263.2099999999999,264.905,0,0,3433.545999999973,3433.7909999999683,0,2,3419.8000000000466,8.70000000006985,
run32,6386.6900000000605,246.18700000000885,3.829999999999997,0.068,272.25100000000003,0,273.085,247.652,0,0,3695.2110000000102,3695.4830000000075,0,2,3649.899999999907,8.300000000046566,
run33,6889.932999999961,294.8429999999949,4.203999999999992,0.082,338.9720000000001,0,326.90099999999995,285.95,0,0,4141.822000000044,4142.099000000046,0,2,4107.5,8.599999999976717,
run34,8407.707000000053,240.8050000000108,3.924999999999998,0.043,266.17599999999993,0,261.55600000000004,278.322,0,0,5568.925000000047,5569.19299999997,0,2,3489.3000000000466,9.199999999953434,
run35,7002.435999999987,312.80599999998947,3.8689999999999967,0.065,307.3859999999999,0,301.99800000000005,254.90200000000002,0,0,4278.05700000003,4278.275999999954,0,2,4252.599999999977,8.599999999976717,
run36,7045.130000000005,292.8650000000073,4.386000000000005,0.101,286.20799999999997,0,286.90100000000007,288.70599999999996,0,0,4302.4679999999935,4302.787000000011,0,2,4275.800000000047,8.29999999993015,
