,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup0run0,8491.142000000007,282.8460000000058,3.9420000000000033,0.037,127.529,0,143.941,240.77700000000002,0,0,2009.6680000000051,2010.646000000008,0,2,5519.5,7.30000000000291,,
setup0run1,6596.1390000000265,263.7620000000058,5.7810000000000175,0.129,141.94299999999998,0,156.642,330.082,0,0,552.140000000014,552.8450000000012,0,2,4072.399999999994,8.89999999999418,,
setup0run2,6597.399999999965,271.5340000000062,5.781000000000006,0.145,144.20199999999997,0,158.809,327.85699999999997,0,0,631.6349999999511,632.5729999999749,0,2,4213.099999999977,8.600000000034925,,
setup0run3,6459.410999999964,261.54800000000654,5.598000000000003,0.088,148.71599999999998,0,158.80200000000002,290.42199999999997,0,0,563.8199999999488,565.5169999999925,0,2,3991.5,8.599999999976717,,
setup0run4,6876.9310000000205,269.2000000000066,5.599999999999997,0.055,149.179,0,160.00000000000003,286.294,0,0,786.2270000000717,786.9780000000028,0,2,4272.099999999977,7.699999999953434,,
setup0run5,6519.363000000012,266.61200000000804,5.296999999999996,0.105,149.558,0,156.424,287.498,0,0,636.3050000000512,637.125,0,2,4151.300000000047,8.5,,
setup0run6,6639.601000000024,266.85800000000773,5.557000000000007,0.082,144.18299999999996,0,154.2,326.021,0,0,627.5420000000158,628.3649999999907,0,2,4178.900000000023,8,,
setup0run7,6623.232999999775,265.1470000000083,5.3050000000000095,0.103,145.67399999999998,0,155.84599999999998,305.50199999999995,0,0,606.933999999892,607.5929999998771,0,2,4096.5,8.699999999953434,,
setup0run8,6476.415000000037,259.19700000000825,5.838000000000011,0.129,143.93199999999996,0,155.89899999999997,306.09999999999997,0,0,603.4729999999981,604.6740000001155,0,2,3935.9000000001397,8.800000000046566,,
setup0run9,6634.938000000082,268.3740000000088,5.310999999999998,0.069,140.785,0,156.59300000000002,274.04200000000003,0,0,541.0479999999516,541.7909999999683,0,2,4066.100000000093,9.199999999953434,,
setup0run10,6518.395000000019,266.4950000000077,5.352000000000014,0.054,143.459,0,156.113,318.87800000000004,0,0,545.1950000000652,545.8549999999814,0,2,4099.700000000186,8.399999999906868,,
setup0run11,5778.80299999984,214.49200000000755,5.337999999999997,0.072,123.52600000000001,0,131.70399999999998,315.928,0,0,441.7489999998361,442.5529999998398,0,2,3266.899999999907,8.200000000186265,,
setup0run12,6731.895000000019,265.8120000000086,5.33800000000001,0.111,145.844,0,160.851,296.004,0,0,616.6739999996498,617.6159999999218,0,2,4128.899999999907,8.5,,
setup0run13,6441.908999999985,256.0080000000077,5.465000000000004,0.078,142.99499999999998,0,153.28300000000002,300.135,0,0,615.3000000002794,616.0130000002682,0,2,3928.7000000001863,8.199999999720603,,
setup0run14,6444.574000000022,264.349000000008,5.245999999999997,0.219,144.464,0,154.74399999999997,290.933,0,0,654.722000000067,655.4229999994859,0,2,4061.5,8.399999999441206,,
