,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,5979.7319999998435,240.763000000009,3.9500000000000037,0.06,167.53600000000006,0,394.721,63.136,0,0,3024.1019999999553,3024.343999999808,0,2,3109.100000000093,11.300000000046566,
run1,7667.035999999847,357.4679999999992,5.731999999999995,0.111,155.262,0,365.606,63.736999999999995,0,0,4691.87099999981,4692.6059999999125,0,2,4948.399999999907,34.10000000009313,
run2,6491.307999999961,283.5510000000048,5.399,0.125,171.51600000000002,0,360.26800000000003,60.45099999999999,0,0,3708.439000000013,3708.7929999998305,0,2,3864.2000000001863,25.700000000186265,
run3,7179.011000000173,290.97000000000025,5.132999999999995,0.07,188.56699999999998,0,424.16499999999996,71.405,0,0,3828.1700000001583,3828.445000000065,0,2,3946.8000000000466,12.699999999953434,
run4,6733.097000000067,300.895999999995,4.680999999999996,0.07,175.08399999999997,0,346.27299999999997,58.23299999999999,0,0,3941.9169999998994,3942.212999999989,0,2,4067.2000000001863,11.300000000046566,
run5,6614.982000000076,289.08300000000327,4.833999999999998,0.074,188.62099999999998,0,370.2130000000001,60.421000000000014,0,0,3833.6810000000987,3834.07200000016,0,2,3964.3000000000466,12.800000000046566,
run6,6733.151000000071,299.91099999999705,4.965999999999993,0.07,195.24399999999997,0,360.2470000000001,64.004,0,0,3920.6689999999944,3921.097000000067,0,2,4070.6999999999534,24.799999999813735,
run7,6219.864999999991,258.7370000000014,4.20199999999999,0.043,186.68300000000002,0,398.5730000000001,63.78100000000001,0,0,3316.124000000069,3316.473999999929,0,2,3442,11.200000000186265,
run8,9171.161000000313,262.32199999999824,4.403999999999992,0.072,188.45900000000003,0,430.85599999999994,70.18099999999998,0,0,5516.25,5516.638000000268,0,2,3575.7999999998137,11.600000000093132,
run9,7580.612000000197,294.8710000000036,4.093999999999999,0.114,145.368,0,426.46200000000005,76.42499999999998,0,0,3953.8670000000857,3954.0819999999367,0,2,4110.799999999814,22.59999999962747,
run10,6614.652999999933,283.0660000000072,4.078000000000001,0.097,166.93499999999997,0,350.50399999999996,58.155,0,0,3817.5830000001006,3817.9219999997877,0,2,3831,12.199999999720603,
run11,7807.566999999806,319.25399999999524,4.2679999999999945,0.097,176.77899999999997,0,411.553,74.621,0,0,4225.407999999821,4225.668000000063,0,2,4247.799999999814,10.899999999906868,
run12,7530.228000000119,296.08399999999955,5.517999999999997,0.1,188.67199999999997,0,418.35100000000006,75.14699999999999,0,0,3876.9330000001937,3877.471000000369,0,2,4059.600000000093,12.299999999813735,
run13,6782.763000000268,292.7609999999972,5.162,0.087,199.16100000000003,0,393.238,56.666,0,0,4027.1419999999925,4027.4540000003763,0,2,4050.399999999907,11.899999999906868,
run14,6665.013000000268,301.52399999999886,4.079999999999996,0.057,172.265,0,365.768,62.098,0,0,3887.911000000313,3888.1500000003725,0,2,3982.4000000003725,26.5,
run15,7347.692000000272,300.09200000000305,4.094999999999998,0.083,170.61100000000005,0,416.31000000000006,69.031,0,0,3746.5750000001863,3746.930999999866,0,2,3846.2000000001863,11.699999999720603,
run16,6646.2090000002645,244.73900000000978,3.993999999999986,0.069,176.08100000000002,0,430.95900000000006,74.16499999999999,0,0,3068.475000000093,3068.8859999999404,0,2,3186.1999999997206,11,
run17,7130.925000000279,276.0179999999919,4.68,0.075,170.32799999999995,0,361.022,59.288000000000004,0,0,4325.982000000309,4326.232000000309,0,2,3554.399999999907,11.600000000093132,
run18,6897.55700000003,306.52399999999756,5.134000000000001,0.112,180.39000000000007,0,359.488,58.844,0,0,4113.867999999784,4114.162999999709,0,2,4239.5,11.800000000279397,
run19,7060.287000000011,324.4669999999846,4.509000000000003,0.079,169.57899999999998,0,360.538,60.02300000000001,0,0,4306.683999999892,4307.0490000001155,0,2,4438.100000000093,24.299999999813735,
run20,7718.155000000261,312.7499999999932,4.260999999999995,0.116,204.16100000000006,0,445.05000000000007,74.178,0,0,4131.25400000019,4131.492000000086,0,2,4156.399999999907,24.399999999906868,
run21,6704.801999999676,297.264000000004,4.004999999999997,0.11,153.536,0,349.438,53.84700000000001,0,0,3938.0419999998994,3938.37099999981,0,2,3923.7000000001863,11.600000000093132,
run22,7694.020000000019,320.3859999999864,4.354999999999994,0.133,180.78800000000007,0,429.03100000000006,70.97699999999999,0,0,4117.391999999993,4117.75,0,2,4249.700000000186,11,
run23,7847.209999999963,331.8609999999852,5.483000000000004,0.061,207.40600000000003,0,455.19699999999995,83.987,0,0,4549.683999999892,4550.095999999903,0,2,4677.5,22.600000000093132,
run24,6162.660000000149,266.6050000000004,4.674999999999996,0.053,192.18299999999996,0,368.18,61.966000000000015,0,0,3315.788000000175,3316.152999999933,0,2,3459.100000000093,25.5,
run25,5987.478000000119,254.54499999999973,3.9479999999999995,0.067,177.84599999999998,0,366.177,57.419,0,0,3208.7039999999106,3208.9890000000596,0,2,3333.8000000002794,23.899999999906868,
run26,5994.94700000016,254.77100000000175,4.703999999999996,0.052,180.4660000000001,0,354.173,61.21600000000001,0,0,3230.442000000272,3230.7150000003166,0,2,3346.5,13.299999999813735,
run27,7469.774999999907,325.0509999999863,4.215000000000004,0.176,192.40299999999996,0,427.4940000000001,75.64599999999999,0,0,4161.13599999994,4161.430999999866,0,2,4307.5,26.600000000093132,
run28,6712.817000000272,298.14799999999553,4.318999999999998,0.106,187.15300000000002,0,375.21999999999997,54.672,0,0,3919.4479999998584,3919.7030000002123,0,2,4050.5999999996275,26.699999999720603,
run29,6937.830999999773,321.3079999999877,4.146999999999994,0.104,180.37300000000002,0,364.681,55.80600000000001,0,0,4174.18899999978,4174.430999999866,0,2,4299.899999999907,12.399999999906868,
run30,7776.558999999892,302.5530000000055,4.375999999999997,0.082,186.34200000000004,0,440.94499999999994,74.682,0,0,4113.814999999944,4114.058000000194,0,2,4239.9000000003725,23.299999999813735,
run31,6936.902000000235,298.50400000000593,4.159999999999998,0.118,170.775,0,418.421,69.389,0,0,3788.905999999959,3789.2430000002496,0,2,3877.5,11.199999999720603,
run32,6940.624000000302,308.74799999999465,4.789999999999996,0.11,194.52999999999994,0,369.839,56.392,0,0,4153.695000000298,4153.939999999944,0,2,4293.199999999721,26,
run33,7069.38599999994,260.8300000000029,5.085000000000002,0.07,190.09099999999992,0,449.427,71.434,0,0,3397.842999999877,3398.3939999998547,0,2,3548.2999999998137,26.800000000279397,
