,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,3801.5129999998026,44.99600000000004,19.599999999999195,0.09,72.332,0,382.72899999999987,81.97000000000004,0,0,418.056999999797,419.29799999995157,0,2,979.6999999999534,0.6000000000931323,
run1,4035.7430000000168,39.140000000000065,20.483999999999664,0.173,87.87299999999999,0,355.68199999999996,71.637,0,0,1350.8700000001118,1351.319000000134,0,2,1338.3000000000466,0.6000000000931323,
run2,4139.327000000048,41.032999999999966,22.376000000000424,0.082,72.52800000000002,0,373.86899999999997,69.25699999999999,0,0,1512.8700000001118,1513.188000000082,0,2,1579.6000000000931,2.6000000000931323,
run3,3966.2399999999907,39.35100000000013,21.060999999999495,0.062,89.692,0,361.284,72.57100000000001,0,0,1272.782000000123,1273.1670000001322,0,2,1258.5,0.5,
run4,4018.564999999944,36.93200000000004,20.67399999999969,0.087,89.539,0,360.8099999999999,70.22,0,0,1347.3370000000577,1347.7290000000503,0,2,1331.3999999999069,0.8000000000465661,
run5,3916.162000000011,38.57500000000002,22.159999999999563,0.104,89.05000000000001,0,364.05800000000005,72.67800000000001,0,0,1229.2299999999814,1229.6089999999385,0,2,1223.7999999998137,0.6000000000931323,
run6,4111.915999999968,39.42400000000009,22.034999999999744,0.142,90.55499999999998,0,365.058,68.15500000000002,0,0,1427.5149999998976,1427.9879999998957,0,2,1320.5,0.8000000000465661,
run7,3667.3580000000075,39.053000000000054,19.126999999999974,0.081,77.73400000000001,0,348.12,70.781,0,0,979.6380000000354,980.0149999998976,0,2,952.2999999998137,0.6999999999534339,
run8,4579.296000000089,38.192999999999984,18.545999999999953,0.053,78.19399999999999,0,339.7390000000001,66.979,0,0,1893.5989999999292,1893.8390000001527,0,2,972,3,
run9,3806.287000000011,38.5050000000001,20.8089999999998,0.052,88.395,0,368.5330000000001,73.45500000000001,0,0,1122.3500000000931,1122.6929999999702,0,2,1094.3000000002794,0.5,
run10,4215.558999999892,41.080000000000034,21.54399999999957,0.115,90.093,0,345.4840000000001,80.094,0,0,1504.652999999933,1505.1669999998994,0,2,1389.8999999999069,0.599999999627471,
run11,4241.193999999668,40.86000000000006,22.87999999999998,0.099,92.20299999999999,0,357.728,72.01599999999999,0,0,1565.0069999997504,1565.3569999998435,0,2,1550.5,0.8999999999068677,
run12,4144.645000000019,42.170000000000094,22.24200000000004,0.123,67.82300000000002,0,338.44999999999993,67.74000000000001,0,0,1516.2009999998845,1516.4909999999218,0,2,1442.2999999998137,0.5,
run13,4045.2059999997728,39.28199999999991,21.333999999999822,0.061,70.768,0,343.09599999999995,66.683,0,0,1387.154999999795,1387.4629999999888,0,2,1429.9000000003725,0.6000000000931323,
run14,3949.267999999691,40.31600000000005,21.151000000000007,0.114,90.35599999999997,0,367.68,71.05199999999999,0,0,1340.8569999998435,1341.2599999997765,0,2,1344.3000000002794,2.3000000002793968,
run15,4313.160999999847,39.91400000000011,26.032000000000586,0.165,97.90000000000002,0,400.7120000000001,73.804,0,0,1620.2960000000894,1620.751000000164,0,2,1495.1999999997206,0.6000000000931323,
run16,4618.507000000216,37.71799999999994,18.406999999999943,0.106,79.14600000000002,0,348.408,69.84100000000002,0,0,1966.191000000108,1966.4950000001118,0,2,974.2999999998137,0.7000000001862645,
run17,4548.114999999758,37.43500000000008,18.54800000000007,0.239,76.398,0,351.84400000000005,69.77700000000002,0,0,1894.6779999998398,1895.0520000001416,0,2,972.3999999999069,0.7999999998137355,
run18,3610.492999999784,38.534000000000034,18.805999999999763,0.06,78.15499999999999,0,340.94700000000006,71.42800000000001,0,0,936.0679999999702,936.4399999999441,0,2,920.6000000000931,0.6999999997206032,
run19,4014.19000000041,36.99899999999997,20.676999999999673,0.057,89.83399999999999,0,356.109,74.24900000000002,0,0,1336.6860000002198,1337.0250000003725,0,2,1249.2000000001863,0.6999999997206032,
run20,4082.9249999998137,39.37299999999997,19.427999999999795,0.06,95.95200000000001,0,374.79900000000004,75.175,0,0,1442.2680000001565,1442.6859999997541,0,2,1401.8999999999069,2.3999999999068677,
run21,4031.2639999999665,38.12399999999998,21.842999999999694,0.081,90.302,0,361.1049999999999,72.11100000000002,0,0,1383.780999999959,1384.176999999676,0,2,1367.8000000002794,0.5,
run22,4369.054999999702,40.261000000000095,21.76999999999955,0.085,95.06400000000001,0,383.92800000000005,73.46600000000001,0,0,1678.432999999728,1678.8489999999292,0,2,1589.5,0.6000000000931323,
run23,4034.6370000001043,41.758000000000074,21.789000000000268,0.077,91.81800000000003,0,369.37799999999993,72.577,0,0,1415.3590000001714,1415.8020000001416,0,2,1448,0.5,
