,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,6489.665000000037,253.4760000000042,16.58299999999914,0.076,97.698,0,353.867,139.92700000000002,0,0,404.70799999986775,405.25699999998324,0,2,3804.5999999998603,13.799999999813735,
run1,7764.34300000011,284.0560000000029,16.53500000000035,0.133,178.988,0,460.19499999999994,173.82600000000002,0,0,4641.303000000073,4641.571999999927,0,2,4437.90000000014,11.199999999953434,
run2,7286.578999999911,280.2210000000076,15.326000000000823,0.065,105.44999999999999,0,374.1499999999999,147.532,0,0,4374.535999999847,4374.7360000000335,0,2,4373.600000000093,12.300000000046566,
run3,7156.682999999961,273.5610000000075,15.9420000000005,0.126,107.56799999999997,0,384.98299999999995,139.72400000000002,0,0,4270.85400000005,4271.104999999981,0,2,4375,14,
run4,7934.415999999968,284.6910000000036,19.36199999999966,0.092,193.68399999999997,0,470.6419999999999,170.37400000000002,0,0,4528.722999999998,4528.93200000003,0,2,4411.5,11.199999999953434,
run5,7660.055999999866,274.95100000000724,16.13700000000071,0.071,113.18500000000002,0,415.56300000000005,173.19100000000006,0,0,4172.814000000013,4173.084000000032,0,2,4276.399999999907,12,
run6,8106.81799999997,311.18899999998655,17.750999999999976,0.072,201.6689999999999,0,501.49500000000006,167.031,0,0,4943.954000000143,4944.2050000000745,0,2,4844.399999999907,9.800000000046566,
run7,9980.662999999942,283.65499999998593,17.641999999999875,0.058,192.24300000000002,0,500.9469999999999,181.40599999999995,0,0,6465.422999999952,6465.6440000000875,0,2,4335.300000000047,13.100000000093132,
run8,8752.985000000335,252.11300000000813,16.175000000000306,0.07,171.34199999999998,0,416.741,138.489,0,0,6012.587000000291,6012.791000000201,0,2,3743.899999999907,13.5,
run9,7683.001999999862,299.13599999999843,18.702999999999655,0.107,112.90500000000002,0,403.27400000000006,145.64399999999998,0,0,4725.943999999668,4726.183999999892,0,2,4791.800000000279,12.800000000279397,
run10,7199.901999999769,287.7060000000063,15.100000000000604,0.063,102.82199999999999,0,356.151,131.511,0,0,4236.908999999985,4237.432999999728,0,2,4514.399999999907,10,
run11,7954.4570000000895,294.5420000000008,15.728000000000662,0.086,115.582,0,435.64300000000003,166.11399999999998,0,0,4306.304000000004,4306.915000000037,0,2,4611.0999999996275,10.700000000186265,
run12,7725.067000000272,316.5589999999903,16.88599999999985,0.086,185.84099999999998,0,449.7489999999999,142.78199999999998,0,0,4969.660000000149,4969.929000000004,0,2,4842.300000000279,15.799999999813735,
run13,7237.887999999803,288.9329999999998,16.144000000000325,0.089,107.047,0,372.41499999999996,135.12599999999998,0,0,4462.773000000045,4463.125,0,2,4582.4000000003725,14.600000000093132,
run14,7428.738000000361,295.01200000000614,15.856000000000257,0.085,169.355,0,423.497,138.878,0,0,4623.621000000276,4623.854000000283,0,2,4512.5,11,
run15,7738.520000000019,280.6860000000013,16.510000000000428,0.079,116.29400000000001,0,415.0639999999999,159.873,0,0,4357.069000000134,4357.3300000000745,0,2,4370.399999999907,12,
run16,9567.994999999646,267.8669999999931,16.64900000000014,0.059,186.44899999999996,0,492.37700000000007,173.39700000000002,0,0,6165.844000000041,6166.078999999911,0,2,3996.3000000002794,11.100000000093132,
run17,7027.800999999978,287.7729999999953,15.97600000000039,0.06,164.88000000000005,0,420.022,146.58399999999997,0,0,4261.99599999981,4262.228000000119,0,2,4144.0999999996275,11.400000000372529,
run18,6940.082999999635,276.99699999998904,17.062999999999974,0.067,183.667,0,430.683,138.99199999999996,0,0,4212.940999999642,4213.250999999698,0,2,4093,11,
run19,7306.0180000001565,287.5910000000013,16.98300000000014,0.1,171.87700000000007,0,430.62099999999987,148.36700000000002,0,0,4457.158000000287,4457.370000000112,0,2,4346.100000000093,13.700000000186265,
run20,7775.322999999858,281.7600000000053,17.212999999999845,0.096,180.57699999999997,0,471.7919999999999,162.61700000000005,0,0,4537.273000000045,4537.546000000089,0,2,4437.899999999907,10.5,
run21,7877.038000000175,279.87200000000564,17.42400000000013,0.117,178.95999999999995,0,493.7429999999999,179.48399999999998,0,0,4525.01099999994,4525.410999999847,0,2,4391.100000000093,14.100000000093132,
run22,7752.873000000138,314.12899999998774,16.66500000000014,0.109,174.14799999999988,0,418.33799999999997,145.537,0,0,5012.218000000343,5012.4280000003055,0,2,4910,10.200000000186265,
run23,8305.219000000041,332.80199999998933,18.019999999999765,0.117,124.72500000000002,0,454.6869999999999,165.68200000000004,0,0,5096.484000000171,5096.7710000001825,0,2,5224.100000000093,12,
run24,8085.0709999999,290.50599999999474,17.23300000000007,0.061,181.56,0,478.813,177.024,0,0,4613.047999999952,4613.339999999851,0,2,4511.100000000093,12.5,
run25,7029.941000000108,261.3230000000016,16.859000000000123,0.051,185.46499999999992,0,477.47099999999995,155.71499999999997,0,0,3982.8309999997728,3983.0479999999516,0,2,3877.4000000003725,10.700000000186265,
run26,8915.490000000224,250.25000000000904,16.387000000000373,0.078,176.623,0,456.5850000000001,155.54899999999995,0,0,5938.81799999997,5939.126000000164,0,2,3741.3000000002794,14.899999999906868,
run27,8379.568999999668,309.2329999999957,18.7269999999997,0.054,210.2170000000001,0,506.88599999999997,172.27799999999993,0,0,4918.50299999956,4918.875,0,2,4962.799999999814,12.799999999813735,
run28,7959.910999999847,295.04099999999994,16.69500000000041,0.072,172.95499999999996,0,477.3829999999999,173.719,0,0,4599.347999999765,4599.561999999918,0,2,4492.0999999996275,14.300000000279397,
run29,7816.857000000309,302.7090000000024,19.467999999999673,0.112,188.56999999999996,0,479.92999999999995,158.39300000000006,0,0,4812.191000000108,4812.754999999888,0,2,4691.200000000186,10.5,
run30,8422.67799999984,305.17499999999745,19.18199999999976,0.094,202.85799999999998,0,517.033,164.49299999999994,0,0,4832.535999999847,4832.913999999873,0,2,4894.299999999814,10.299999999813735,
run31,8348.731999999844,287.2420000000031,17.589999999999822,0.062,204.18200000000004,0,483.65799999999996,170.67499999999998,0,0,4896.13599999994,4896.350999999791,0,2,4677.899999999907,11.300000000279397,
run32,7677.137000000104,303.4190000000029,17.651999999999788,0.065,176.156,0,436.11999999999995,135.813,0,0,4926.620000000112,4927.06100000022,0,2,4784.200000000186,14.600000000093132,
run33,7922.3849999997765,319.9219999999889,17.270999999999926,0.099,178.399,0,435.0110000000002,150.95499999999998,0,0,5124.405999999959,5124.734000000171,0,2,5010,14.799999999813735,
run34,6884.117000000086,265.01699999999727,16.945999999999916,0.101,178.63799999999995,0,423.9230000000002,144.73899999999998,0,0,4086.4550000000745,4086.6560000004247,0,2,3970.3000000002794,12.799999999813735,
run35,9736.624000000302,275.4189999999927,17.096000000000217,0.072,176.93800000000005,0,468.19,172.042,0,0,6374.484000000171,6374.794000000227,0,2,4189.5,10.600000000093132,
run36,8032.949000000022,286.99400000000077,18.590999999999664,0.088,190.412,0,506.796,179.82399999999998,0,0,4593.950000000186,4594.276000000071,0,2,4493.700000000186,11.100000000093132,
run37,8193.438000000082,303.57900000000234,16.982999999999993,0.105,195.39400000000003,0,509.1360000000001,171.4840000000001,0,0,4896.248000000138,4896.479000000283,0,2,4781.5,15,
run38,7823.609000000171,319.78600000000125,17.239999999999938,0.097,176.06300000000007,0,417.78099999999995,137.577,0,0,5012.413000000175,5012.779000000097,0,2,4898,13.799999999813735,
run39,8357.831999999937,318.33999999998605,17.55699999999984,0.084,190.14199999999994,0,487.31299999999993,174.269,0,0,4954.49300000025,4954.782000000123,0,2,4846.600000000093,10.5,
run40,8692.478999999817,324.8099999999882,18.06499999999976,0.084,195.43800000000002,0,468.746,167.546,0,0,5037.828000000212,5038.100000000093,0,2,4917.5,13.5,
