,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,5860.4049999998115,249.35400000000567,4.912000000000002,0.041,130.83799999999997,0,161.366,383.22800000000007,0,0,344.84599999990314,345.42399999988265,0,2,3369.100000000093,8.099999999860302,
run1,6316.987999999896,241.16700000001055,3.7339999999999876,0.069,257.05199999999996,0,310.696,411.54800000000006,0,0,3594.5429999998305,3594.7609999999404,0,2,3481.2000000001863,8,
run2,8169.912999999942,405.64699999998646,5.224999999999999,0.089,325.799,0,419.42699999999996,386.99700000000007,0,0,5394.625999999931,5394.88599999994,0,2,5262.600000000093,11.399999999906868,
run3,6890.027000000002,277.08300000000304,3.9470000000000005,0.123,326.7240000000001,0,365.247,390.13900000000007,0,0,4205.035999999847,4205.304000000004,0,2,4090,8,
run4,6955.887000000104,285.23500000000297,3.921,0.112,314.07699999999994,0,361,407.619,0,0,4268.054000000004,4268.451000000117,0,2,4139.59999999986,7.399999999906868,
run5,7045.222000000067,277.98400000000686,3.869999999999998,0.077,329.23600000000005,0,367.66999999999996,380.08399999999983,0,0,4332.448000000091,4332.760000000009,0,2,4210.399999999907,7.599999999860302,
run6,6877.090000000084,286.58299999999554,3.876000000000001,0.109,296.74099999999993,0,345.13200000000006,387.5929999999999,0,0,4193.279000000097,4193.4860000000335,0,2,4084,9,
run7,6531.206000000006,273.98699999999843,3.7180000000000035,0.074,287.0899999999999,0,332.63499999999993,401.59400000000005,0,0,3837.253999999957,3837.49599999981,0,2,3734.100000000093,8.5,
run8,6360.638000000035,253.2750000000026,3.738999999999992,0.045,304.03700000000003,0,362.21399999999994,395.49999999999983,0,0,3689.527000000002,3689.8889999999665,0,2,3556.5,8.200000000186265,
run9,6455.617000000086,258.4720000000001,4.144999999999992,0.043,308.0119999999999,0,359.369,390.9769999999999,0,0,3746.695000000298,3746.973000000231,0,2,3628.5,7.899999999906868,
run10,7230.871999999974,320.8129999999893,3.6799999999999993,0.07,292.295,0,329.745,385.5569999999999,0,0,4570.157999999821,4570.51099999994,0,2,4457.300000000279,8.399999999906868,
run11,6994.820999999996,299.002999999996,4.399999999999993,0.075,296.19699999999995,0,337.395,392.7609999999999,0,0,4280.80999999959,4281.055999999866,0,2,4151.799999999814,7.600000000093132,
run12,6537.87099999981,283.27899999999806,4.629000000000004,0.08,151.07600000000002,0,195.61,381.734,0,0,3814.0709999999963,3814.30299999984,0,2,4177.899999999907,9.100000000093132,
run13,6747.667999999598,293.54500000000206,4.467,0.081,144.855,0,177.675,384.0470000000001,0,0,4004.7029999997467,4005.0749999997206,0,2,4263.799999999814,8.700000000186265,
run14,7004.465000000317,291.7630000000018,4.122999999999992,0.097,302.6509999999999,0,355.05899999999997,392.34600000000006,0,0,4340.158999999985,4340.4590000002645,0,2,4222.700000000186,7.7999999998137355,
