,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,4045.8829999999143,87.25799999999968,7.722999999999995,0.089,56.93099999999998,0,62.460999999999984,24.595999999999997,0,0,1435.5719999999274,1435.8929999999236,0,3,728.7000000001863,0.30000000004656613,
run1,3298.8649999999907,88.6169999999996,8.216999999999993,0.063,63.542000000000016,0,68.52999999999999,25.644999999999992,0,0,697.4189999999944,697.839999999851,0,3,1059.5,0.39999999990686774,
run2,3337.996999999974,88.18199999999972,9.018999999999997,0.101,63.342999999999996,0,66.797,25.563999999999997,0,0,743.6200000001118,744.1210000000428,0,3,1119.8999999999069,0.5,
run3,3214.1350000000093,83.34499999999998,9.059,0.072,56.786999999999985,0,64.061,23.476999999999997,0,0,636.2410000001546,636.7229999999981,0,3,1028,0.5,
run4,3349.0500000000466,89.39999999999988,8.523999999999996,0.133,63.45600000000001,0,66.11,26.10799999999999,0,0,697.596000000136,697.9429999999702,0,3,1041.5,0.5,
run5,3335.0449999999255,88.84799999999963,8.892999999999999,0.068,60.539,0,65.56899999999997,24.234000000000005,0,0,731.6589999999851,732.0840000000317,0,3,1120.5999999998603,0.39999999990686774,
run6,3313.845000000013,87.88500000000019,12.709000000206748,0.089,62.683000000000014,0,67.60100000000001,25.90800000000001,0,0,733.4709999999031,733.775999999838,0,3,1123.3000000000466,0.39999999990686774,
run7,2960.723999999929,89.20799999999957,8.104000000000001,0.048,56.327,0,62.01300000000001,24.297999999999995,0,0,375.76599999982864,376.02499999990687,0,4,633.0999999998603,0.30000000004656613,
run8,2988.4890000000596,86.72999999999978,8.079,0.073,56.187999999999995,0,60.000000000000014,23.617999999999995,0,0,389.9849999998696,390.2990000001155,0,3,643.1000000000931,0.5,
run9,3316.7310000001453,84.68000000000076,8.438999999999997,0.081,56.574000000000005,0,63.86300000000001,23.567,0,0,687.5430000000633,687.9840000001714,0,3,1070.6000000000931,0.5,
run10,3357.2889999998733,90.91399999999993,13.519999999914313,0.085,62.916999999999966,0,68.62,25.803,0,0,746.6129999998957,746.9939999999478,0,3,1011.2999999998137,0.5,
run11,3442.503000000026,88.05600000000003,8.298999999999998,0.07,61.446000000000005,0,68.025,25.093000000000004,0,0,836.3020000001416,836.6589999999851,0,3,1117.7999999998137,0.39999999990686774,
run12,3330.441000000108,87.82900000000036,8.468999999999994,0.078,60.163000000000004,0,66.86600000000001,25.395000000000003,0,0,701.7949999999255,702.089999999851,0,3,1093.8999999999069,0.5,
run13,3292.132000000216,91.22800000000005,8.195999999999998,0.079,63.06400000000001,0,69.65400000000001,26.096000000000004,0,0,708.902999999933,709.2370000001974,0,3,1146.6999999997206,0.6000000000931323,
run14,3293.5759999998845,87.81699999999937,7.932999999999996,0.101,57.805000000000014,0,65.21000000000001,25.06,0,0,712.5249999999069,712.9639999996871,0,3,972.8000000002794,0.5,
run15,3322.56799999997,88.22499999999954,8.782999999999987,0.181,60.06300000000001,0,67.41099999999999,26.204999999999995,0,0,746.00400000019,746.4620000002906,0,3,1141.1999999997206,0.5,
run16,3960.7390000000596,87.00799999999974,8.699999999999989,0.075,57.955,0,60.56200000000001,24.467999999999993,0,0,1363.0540000000037,1363.37099999981,0,3,714.2000000001863,0.5,
run17,3047.4479999998584,86.81699999999985,7.888999999999994,0.075,57.766,0,63.874999999999986,24.935000000000013,0,0,447.7430000002496,448.0690000001341,0,3,691.7000000001863,0.5,
run18,3347.8040000000037,88.71599999999981,7.832999999999994,0.06,61.52599999999998,0,65.63900000000001,25.299,0,0,726.0750000001863,726.4399999999441,0,3,1004.3999999999069,0.5,
run19,3306.725000000093,88.78800000000035,8.590999999999992,0.104,61.12499999999999,0,67.64299999999999,25.758999999999997,0,0,681.0270000002347,681.5400000000373,0,3,1076.5,0.5,
run20,3417.0740000000224,89.5930000000004,7.829000000000004,0.151,60.57200000000001,0,68.43199999999999,25.775000000000002,0,0,810.3140000002459,810.7650000001304,0,3,1080.3999999999069,0.5,
run21,3201.962999999989,87.71399999999998,8.253999999999998,0.172,58.995999999999995,0,68.74699999999999,25.807999999999996,0,0,633.7160000000149,634.1140000000596,0,3,991.0999999996275,0.5,
run22,3418.489999999758,89.8820000000001,8.582999999999997,0.104,63.61200000000003,0,73.474,26.877999999999997,0,0,815.5,816,0,3,1097.7000000001863,0.3000000002793968,
run23,3459.9879999998957,89.94000000000034,9.537,0.153,60.77799999999999,0,69.89600000000004,26.286000000000005,0,0,855.5600000000559,856.0910000000149,0,3,1276.9000000003725,0.6000000000931323,
run24,3013.6780000003055,88.40800000000027,13.275000000327816,0.09,62.42499999999999,0,67.348,25.73700000000001,0,0,427.55500000016764,427.9210000000894,0,3,686.3999999999069,0.7000000001862645,
