,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid
run0,13625.040000021458,272.6780000000062,8.972999999999939,0.062,266.539,0,462.7869999999999,354.218,0,0,10746.157000005245,10746.582000017166,0,2,10665.5,38.90000003576279,
run1,12703.95499998331,295.1310000000017,4.398000000000145,0.08,310.1030000000001,0,543.297,418.681,0,0,9241.235999941826,9241.586999952793,0,2,7984.699999988079,19.80000001192093,
run2,14226.585000038147,325.93699999999427,10.617999999999968,0.113,368.93999999999994,0,536.388,387.573,0,0,11359.731000006199,11360.324000000954,0,2,11286.299999952316,12.599999964237213,
run3,14378.360999941826,337.76399999999495,10.855000000000178,0.068,321.916,0,525.8369999999999,395.1700000000001,0,0,11666.261999964714,11666.52999997139,0,2,11599.799999952316,29.30000001192093,
run4,15330.322000026703,343.0129999999921,10.448000000000011,0.088,301.51599999999985,0,485.58200000000005,375.351,0,0,12495.855000019073,12496.089000046253,0,2,11663.399999976158,13.5,
run5,14628.36100000143,347.2329999999949,10.962000000000076,0.113,322.56399999999996,0,524.4630000000001,391.659,0,0,11851.431999981403,11851.782000005245,0,2,11795.5,12.300000011920929,
run6,14202.42000001669,328.5659999999967,9.407000000000034,0.086,351.90099999999995,0,534.74,350.5420000000001,0,0,11537.467999994755,11537.717999994755,0,2,11479,13.5,
run7,14226.691999994278,324.84699999999685,11.65800000000011,0.078,370.46199999999993,0,545.9479999999999,392.20000000000005,0,0,11309.606000006199,11309.870000004768,0,2,11433.100000023842,14.799999952316284,
run8,14174.4849999547,337.05399999999247,10.775000000000158,0.113,337.2530000000001,0,535.321,355.05599999999987,0,0,11499.080999970436,11499.349999964237,0,2,11433,13.399999976158142,
run9,14802.727999985218,341.6949999999899,9.189000000000128,0.054,319.3380000000001,0,537.4650000000001,385.665,0,0,11992.879000008106,11993.212000012398,0,2,11877.200000047684,15.899999976158142,
